vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
19.846207,10668,14498,0bc18737319f2ce6p,0.85450566,0.945336,0.8921716,0.3
27.758488,7210,20422,0bc18737319f2ce6p,0.8326619,0.93724084,0.8882262,0.3
52.94254,20982,22474,0bc18737319f2ce6p,0.82993776,0.9139769,0.45300817,0.3
42.74441,18550,12034,0bc18737319f2ce6p,0.8203713,0.9267422,0.7824089,0.3
27.932112,17974,19326,0bc18737319f2ce6p,0.80895686,0.94298625,0.89420474,0.3
25.979996,12278,13920,0bc18737319f2ce6p,0.8075523,0.93450665,0.9049787,0.3
24.010622,2034,11410,0bc18737319f2ce6p,0.8008571,0.88167155,0.8290838,0.3
30.23214,15150,9210,0bc18737319f2ce6p,0.8001199,0.9229679,0.85213643,0.3
51.581516,5000,21330,0bc18737319f2ce6p,0.79279697,0.92246634,0.5519786,0.3
49.186443,19054,14062,0bc18737319f2ce6p,0.7862876,0.90350443,0.68220794,0.3
27.451574,5682,12340,0bc18737319f2ce6p,0.78232455,0.9203883,0.8665088,0.3
22.82743,6452,11962,0bc18737319f2ce6p,0.7808393,0.8982418,0.8680686,0.3
32.618347,9858,20412,0bc18737319f2ce6p,0.7788347,0.91247857,0.7962248,0.3
22.541885,6160,12864,0bc18737319f2ce6p,0.7687247,0.90977734,0.84786874,0.3
46.264477,7238,22172,0bc18737319f2ce6p,0.7644166,0.91389495,0.59363633,0.3
47.48102,19094,15170,0bc18737319f2ce6p,0.75505507,0.91338825,0.65453804,0.3
30.35677,12650,18960,0bc18737319f2ce6p,0.7503492,0.90891945,0.8175134,0.3
30.89336,8926,15654,0bc18737319f2ce6p,0.74985886,0.93263566,0.8618632,0.3
72.148346,14202,17136,0bc18737319f2ce6p,0.74831927,0.93327934,0.28540537,0.3
49.297176,14316,15676,0bc18737319f2ce6p,0.7448552,0.93233544,0.53715307,0.3
20.145668,9524,5662,0bc18737319f2ce6p,0.7383229,0.8121243,0.026466224,0.3
32.36479,3478,15482,0bc18737319f2ce6p,0.73803556,0.9004671,0.7932935,0.3
53.6063,13534,17822,0bc18737319f2ce6p,0.730199,0.9339241,0.3137836,0.3
20.919973,14678,19940,0bc18737319f2ce6p,0.7297926,0.90737796,0.8264566,0.3
88.59796,18742,18548,0bc18737319f2ce6p,0.7249559,0.9232877,0.14195305,0.3
25.03481,6760,12136,0bc18737319f2ce6p,0.7160342,0.887591,0.7893299,0.3
19.892454,9432,5828,0bc18737319f2ce6p,0.7157788,0.7727689,0.022666626,0.3
42.72351,19008,15344,0bc18737319f2ce6p,0.70851576,0.8527267,0.6398871,0.3
18.36113,16652,19404,0bc18737319f2ce6p,0.7058457,0.93521744,0.82489794,0.3
20.094238,9710,6780,0bc18737319f2ce6p,0.7031908,0.90868497,0.01580658,0.3
72.89479,5208,17480,0bc18737319f2ce6p,0.6965467,0.9111816,0.27224442,0.3
83.73566,18752,18654,0bc18737319f2ce6p,0.68956923,0.9097756,0.070321575,0.3
52.462593,15524,20282,0bc18737319f2ce6p,0.68894935,0.9044077,0.3452091,0.3
42.617073,19358,13540,0bc18737319f2ce6p,0.6866946,0.8827364,0.703799,0.3
39.93805,4674,21346,0bc18737319f2ce6p,0.68182606,0.76488674,0.32906076,0.3
84.15603,12784,22836,0bc18737319f2ce6p,0.6808307,0.899371,0.19679417,0.3
33.45081,11784,16002,0bc18737319f2ce6p,0.6795713,0.9051107,0.7784779,0.3
80.19359,8720,24292,0bc18737319f2ce6p,0.66922224,0.8420802,0.1911188,0.3
27.19606,19170,11988,0bc18737319f2ce6p,0.66910565,0.91667044,0.7995739,0.3
26.960108,7042,15198,0bc18737319f2ce6p,0.6672049,0.9064559,0.83303225,0.3
16.93211,8050,7206,0bc18737319f2ce6p,0.6666642,0.9202861,0.019224204,0.3
46.463017,8556,3830,0bc18737319f2ce6p,0.6662605,0.8992813,0.3038802,0.3
57.438778,20342,20546,0bc18737319f2ce6p,0.66551244,0.880798,0.39576945,0.3
54.08838,19504,13210,0bc18737319f2ce6p,0.66276026,0.905075,0.48676342,0.3
55.795082,11266,16132,0bc18737319f2ce6p,0.64637583,0.88903576,0.3894478,0.3
55.43857,5184,22650,0bc18737319f2ce6p,0.6459456,0.67762345,0.24767408,0.3
37.234135,18262,13090,0bc18737319f2ce6p,0.64454496,0.90588593,0.7018676,0.3
31.679821,19550,13582,0bc18737319f2ce6p,0.63997674,0.8974419,0.76993644,0.3
24.964573,8652,6798,0bc18737319f2ce6p,0.6375203,0.8717967,0.021048687,0.3
72.842636,11700,6660,0bc18737319f2ce6p,0.63631994,0.92462325,0.036881126,0.3
53.110855,17098,22148,0bc18737319f2ce6p,0.6344528,0.8171074,0.2374227,0.3
19.104223,9526,5638,0bc18737319f2ce6p,0.6335053,0.07036344,0.053288348,0.3
27.62222,5896,11770,0bc18737319f2ce6p,0.62524027,0.864434,0.7098107,0.3
67.86963,15290,20090,0bc18737319f2ce6p,0.6251365,0.9037163,0.28014743,0.3
51.660175,12832,22468,0bc18737319f2ce6p,0.6210656,0.8665433,0.4013101,0.3
17.88731,9706,6798,0bc18737319f2ce6p,0.6181978,0.06016127,0.059085198,0.3
83.37674,11042,26448,0bc18737319f2ce6p,0.6176352,0.8945941,0.19170205,0.3
137.04376,8658,24568,0bc18737319f2ce6p,0.6168444,0.8744477,0.073692456,0.3
88.25755,21226,25364,0bc18737319f2ce6p,0.6143132,0.88884544,0.13112395,0.3
93.35814,15812,16590,0bc18737319f2ce6p,0.61331916,0.8929893,0.110258736,0.3
