vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
27.85712,18648,4958,4f1ac44118a7cc96p,0.8077863,0.7704432,0.45525843,0.3
38.834843,14078,2660,4f1ac44118a7cc96p,0.804945,0.07193674,0.051766947,0.3
41.148968,19524,4104,4f1ac44118a7cc96p,0.80271935,0.65426975,0.21167019,0.3
31.63691,17234,3546,4f1ac44118a7cc96p,0.8002874,0.8633331,0.3903788,0.3
33.227394,15922,3202,4f1ac44118a7cc96p,0.79597205,0.6595266,0.28086486,0.3
36.46721,13698,3254,4f1ac44118a7cc96p,0.79204106,0.12849031,0.057262048,0.3
30.401402,19720,3778,4f1ac44118a7cc96p,0.79080987,0.8442403,0.5512029,0.3
33.868134,17256,2168,4f1ac44118a7cc96p,0.7906713,0.83068025,0.4256082,0.3
35.087486,16206,3972,4f1ac44118a7cc96p,0.7890784,0.13983423,0.053531684,0.3
78.97251,19084,5864,4f1ac44118a7cc96p,0.7819837,0.9272442,0.04767105,0.3
80.182274,15986,2596,4f1ac44118a7cc96p,0.7769555,0.9077204,0.066659704,0.3
31.07145,15796,2784,4f1ac44118a7cc96p,0.77619344,0.6007101,0.4045086,0.3
35.132065,11668,2376,4f1ac44118a7cc96p,0.7760002,0.26848295,0.07354442,0.3
34.270367,16102,2548,4f1ac44118a7cc96p,0.7746185,0.6176778,0.34756765,0.3
35.93439,15386,3200,4f1ac44118a7cc96p,0.77435726,0.13079128,0.07509428,0.3
33.819508,13620,3308,4f1ac44118a7cc96p,0.7728517,0.1254633,0.05717311,0.3
52.51182,17508,4326,4f1ac44118a7cc96p,0.7727171,0.9117644,0.17106831,0.3
37.830067,13414,2882,4f1ac44118a7cc96p,0.77162004,0.056215107,0.051060077,0.3
34.054558,15926,3834,4f1ac44118a7cc96p,0.7714175,0.28738886,0.09960559,0.3
31.398586,19260,4836,4f1ac44118a7cc96p,0.771117,0.9231737,0.48126256,0.3
34.503708,15926,4154,4f1ac44118a7cc96p,0.7699317,0.056298375,0.052455813,0.3
35.54538,13516,3006,4f1ac44118a7cc96p,0.7686882,0.19316398,0.069386914,0.3
30.373398,16562,5726,4f1ac44118a7cc96p,0.76690406,0.15157937,0.049522143,0.3
32.79865,14510,3814,4f1ac44118a7cc96p,0.7664609,0.054379217,0.050613366,0.3
27.266294,16536,5646,4f1ac44118a7cc96p,0.76603264,0.0714854,0.051946573,0.3
35.996727,16232,3010,4f1ac44118a7cc96p,0.7654474,0.627657,0.29286277,0.3
36.55325,15760,4100,4f1ac44118a7cc96p,0.7654282,0.11350644,0.05478057,0.3
51.25724,19372,4266,4f1ac44118a7cc96p,0.76483995,0.8912059,0.20156409,0.3
59.14119,19494,4908,4f1ac44118a7cc96p,0.7636065,0.8207487,0.08536721,0.3
112.845245,14190,5416,4f1ac44118a7cc96p,0.76223356,0.93952185,0.025053462,0.3
93.04549,19322,6860,4f1ac44118a7cc96p,0.75856614,0.92939633,0.027480945,0.3
40.84474,16560,5406,4f1ac44118a7cc96p,0.75807345,0.6912403,0.050575674,0.3
35.18402,16160,3094,4f1ac44118a7cc96p,0.7576347,0.57313323,0.33422673,0.3
34.50933,11704,2134,4f1ac44118a7cc96p,0.7571455,0.081176706,0.05895815,0.3
35.906734,14348,2798,4f1ac44118a7cc96p,0.7566994,0.11465531,0.058147565,0.3
39.44886,15470,1584,4f1ac44118a7cc96p,0.7556455,0.6796921,0.18844593,0.3
43.73014,14682,1868,4f1ac44118a7cc96p,0.755105,0.36371619,0.052429557,0.3
78.55991,19458,6030,4f1ac44118a7cc96p,0.7548779,0.92811054,0.04554569,0.3
35.542583,15022,3304,4f1ac44118a7cc96p,0.75282717,0.053676378,0.051320773,0.3
71.47952,19358,6848,4f1ac44118a7cc96p,0.7523351,0.93476516,0.021293163,0.3
34.715546,15738,3854,4f1ac44118a7cc96p,0.7520448,0.055364512,0.051943596,0.3
64.61761,19236,5704,4f1ac44118a7cc96p,0.75053275,0.90924805,0.08223708,0.3
40.548744,16490,5232,4f1ac44118a7cc96p,0.7491837,0.79392195,0.04378206,0.3
36.07578,13358,3040,4f1ac44118a7cc96p,0.7491753,0.05688979,0.050027825,0.3
32.816677,16718,5920,4f1ac44118a7cc96p,0.7486129,0.057557657,0.05110403,0.3
38.66182,14426,2362,4f1ac44118a7cc96p,0.74859047,0.062890194,0.05365919,0.3
35.60193,13176,2854,4f1ac44118a7cc96p,0.7474971,0.06634618,0.052144155,0.3
34.237892,13546,3252,4f1ac44118a7cc96p,0.74588937,0.07617037,0.055903178,0.3
32.9168,18982,2864,4f1ac44118a7cc96p,0.74479973,0.5540105,0.24495605,0.3
36.6585,12768,1956,4f1ac44118a7cc96p,0.7447161,0.47085676,0.15421295,0.3
34.578136,14798,3612,4f1ac44118a7cc96p,0.7433483,0.056575913,0.050919835,0.3
33.916473,15998,4092,4f1ac44118a7cc96p,0.7415502,0.05546385,0.052269995,0.3
30.29881,17796,5712,4f1ac44118a7cc96p,0.74105185,0.41611287,0.078009926,0.3
35.059135,15158,1272,4f1ac44118a7cc96p,0.73994297,0.49097568,0.18067917,0.3
83.837524,14082,4914,4f1ac44118a7cc96p,0.73911166,0.91424346,0.027697792,0.3
133.15695,14122,5332,4f1ac44118a7cc96p,0.7373498,0.9392828,0.02697471,0.3
34.659233,16224,4102,4f1ac44118a7cc96p,0.737028,0.069970146,0.06242207,0.3
35.07596,13406,3002,4f1ac44118a7cc96p,0.7351839,0.066388644,0.050293554,0.3
30.514326,14444,3592,4f1ac44118a7cc96p,0.73490155,0.05266674,0.05107592,0.3
110.11845,9914,7406,4f1ac44118a7cc96p,0.7342696,0.9235836,0.025105251,0.3
44.61853,13652,2480,4f1ac44118a7cc96p,0.73140574,0.56824404,0.053582914,0.3
33.229073,15064,3458,4f1ac44118a7cc96p,0.7313579,0.055171706,0.051260673,0.3
34.139076,15916,4008,4f1ac44118a7cc96p,0.7304385,0.05627588,0.05310988,0.3
42.63347,15820,4278,4f1ac44118a7cc96p,0.7298505,0.075318284,0.051092584,0.3
31.756153,17752,5788,4f1ac44118a7cc96p,0.72941583,0.60841686,0.052586026,0.3
37.052208,15258,3300,4f1ac44118a7cc96p,0.72901636,0.06168733,0.052598696,0.3
32.55167,14352,3794,4f1ac44118a7cc96p,0.72894245,0.055767752,0.05139447,0.3
37.729256,13198,2702,4f1ac44118a7cc96p,0.728761,0.104201324,0.05886146,0.3
36.52839,12680,2842,4f1ac44118a7cc96p,0.72768813,0.056130685,0.053384043,0.3
34.714752,16136,3000,4f1ac44118a7cc96p,0.7272102,0.46220165,0.2903759,0.3
94.10381,9908,7446,4f1ac44118a7cc96p,0.72547585,0.9215579,0.023221172,0.3
34.208107,16260,3878,4f1ac44118a7cc96p,0.7252889,0.118875474,0.064247906,0.3
33.66215,12764,2382,4f1ac44118a7cc96p,0.72270715,0.095254436,0.055000145,0.3
32.56833,14362,3552,4f1ac44118a7cc96p,0.72181475,0.05265709,0.050240014,0.3
36.68127,15714,4218,4f1ac44118a7cc96p,0.72175145,0.5656321,0.045157332,0.3
35.06794,11524,2126,4f1ac44118a7cc96p,0.7215904,0.11129618,0.055493306,0.3
33.412506,14474,3672,4f1ac44118a7cc96p,0.72109556,0.055705994,0.05074184,0.3
39.53127,14914,2650,4f1ac44118a7cc96p,0.7204841,0.06277444,0.052501153,0.3
30.154873,16446,5680,4f1ac44118a7cc96p,0.7200303,0.2107543,0.045440413,0.3
33.428684,14940,3330,4f1ac44118a7cc96p,0.7186349,0.059854962,0.050462995,0.3
37.74328,13276,2960,4f1ac44118a7cc96p,0.71560496,0.057205614,0.051919058,0.3
33.149216,14784,3872,4f1ac44118a7cc96p,0.7149867,0.055086717,0.05224755,0.3
37.846203,14450,2954,4f1ac44118a7cc96p,0.71337855,0.053196594,0.050678544,0.3
33.323547,15732,3920,4f1ac44118a7cc96p,0.713283,0.061091054,0.052215107,0.3
30.192232,16348,5544,4f1ac44118a7cc96p,0.71136636,0.20768179,0.048355833,0.3
31.31498,14728,3774,4f1ac44118a7cc96p,0.7107822,0.055172596,0.05214822,0.3
37.254135,14498,2856,4f1ac44118a7cc96p,0.71065104,0.08535436,0.050864108,0.3
27.544231,16638,5874,4f1ac44118a7cc96p,0.7079711,0.067495055,0.048568018,0.3
36.346527,15522,3418,4f1ac44118a7cc96p,0.7055075,0.10196966,0.08075086,0.3
37.79808,15240,2278,4f1ac44118a7cc96p,0.70497674,0.1707999,0.056872163,0.3
38.260136,12930,2422,4f1ac44118a7cc96p,0.7039816,0.055365875,0.05163897,0.3
33.97102,14822,3500,4f1ac44118a7cc96p,0.70301765,0.053909518,0.051034443,0.3
35.912987,14594,3526,4f1ac44118a7cc96p,0.7011232,0.06923985,0.051353127,0.3
