vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
27.628763,11978,16174,55281e894b4445dfp,0.8460163,0.9405032,0.8965038,0.3
26.921963,10692,6270,55281e894b4445dfp,0.8450337,0.94088614,0.882849,0.3
26.35501,10082,21302,55281e894b4445dfp,0.82878244,0.9385536,0.8922622,0.3
31.103874,8324,23884,55281e894b4445dfp,0.82743096,0.9358716,0.86952525,0.3
30.51076,12374,19792,55281e894b4445dfp,0.8273685,0.9364122,0.87677413,0.3
26.467417,11686,4892,55281e894b4445dfp,0.82705545,0.93124306,0.8912593,0.3
31.79512,9042,10592,55281e894b4445dfp,0.8231964,0.9227655,0.83767855,0.3
25.861767,6856,26070,55281e894b4445dfp,0.8179583,0.93421423,0.8780663,0.3
61.31864,13610,20420,55281e894b4445dfp,0.8159938,0.9395885,0.43365872,0.3
21.04509,10688,24718,55281e894b4445dfp,0.8101653,0.93746483,0.9018424,0.3
28.902004,11080,21626,55281e894b4445dfp,0.809642,0.923717,0.8534331,0.3
28.353222,11812,12846,55281e894b4445dfp,0.8096335,0.92406106,0.8549466,0.3
32.985306,6586,24586,55281e894b4445dfp,0.80843455,0.90747005,0.80997914,0.3
24.9988,8698,24046,55281e894b4445dfp,0.80132073,0.91731197,0.8430086,0.3
24.235909,7100,26678,55281e894b4445dfp,0.80038464,0.93226165,0.85375845,0.3
65.33531,15114,22420,55281e894b4445dfp,0.799551,0.94264704,0.19326274,0.3
24.393625,15464,9014,55281e894b4445dfp,0.7962957,0.92060864,0.8584801,0.3
98.54082,11738,24730,55281e894b4445dfp,0.79488814,0.94460946,0.107077785,0.3
38.711773,15902,3336,55281e894b4445dfp,0.7914042,0.93630683,0.7643345,0.3
22.580376,15662,20068,55281e894b4445dfp,0.7890698,0.91585803,0.8596251,0.3
26.11438,11472,17334,55281e894b4445dfp,0.7887102,0.9232192,0.8648051,0.3
35.68544,8700,26764,55281e894b4445dfp,0.78707004,0.9027625,0.58401287,0.3
31.27346,8014,24218,55281e894b4445dfp,0.78578365,0.9232588,0.8499144,0.3
23.398727,9228,24108,55281e894b4445dfp,0.78384966,0.9287639,0.8863358,0.3
34.217648,10824,25676,55281e894b4445dfp,0.7809163,0.9066827,0.6180402,0.3
23.00526,10712,22378,55281e894b4445dfp,0.78090906,0.9219248,0.8882639,0.3
60.722626,3972,6370,55281e894b4445dfp,0.78002787,0.9259224,0.18937452,0.3
22.398773,11812,18508,55281e894b4445dfp,0.77894723,0.9400721,0.88526416,0.3
23.787045,6494,24806,55281e894b4445dfp,0.77754146,0.8774777,0.78659075,0.3
27.58012,8646,26680,55281e894b4445dfp,0.7661566,0.9130691,0.8535823,0.3
21.120604,11746,17508,55281e894b4445dfp,0.7641156,0.8969201,0.851839,0.3
21.349087,11372,20498,55281e894b4445dfp,0.7610285,0.9111372,0.8721164,0.3
21.282425,12596,17424,55281e894b4445dfp,0.760953,0.9113646,0.84676605,0.3
79.85702,16474,19976,55281e894b4445dfp,0.7583059,0.94092095,0.06501574,0.3
92.73948,5288,7176,55281e894b4445dfp,0.75824106,0.9272556,0.14567304,0.3
140.84135,10064,24326,55281e894b4445dfp,0.7580764,0.9383558,0.055009045,0.3
135.65988,14136,22392,55281e894b4445dfp,0.75655997,0.9366663,0.05320454,0.3
27.597904,8806,24602,55281e894b4445dfp,0.7563661,0.9239738,0.86179674,0.3
91.89118,11518,6428,55281e894b4445dfp,0.7540181,0.94996685,0.15032035,0.3
21.158922,13082,3252,55281e894b4445dfp,0.7525494,0.93932956,0.9084282,0.3
27.134174,12082,2572,55281e894b4445dfp,0.74458665,0.9125387,0.8264048,0.3
19.55371,15508,21106,55281e894b4445dfp,0.73884743,0.9389691,0.9033768,0.3
29.82931,4536,6378,55281e894b4445dfp,0.7382811,0.9224448,0.6268458,0.3
25.568394,8616,20754,55281e894b4445dfp,0.73768926,0.9162126,0.71032655,0.3
44.24749,17268,18990,55281e894b4445dfp,0.7364542,0.9051615,0.20674932,0.3
19.515879,5524,23220,55281e894b4445dfp,0.7342302,0.8667521,0.70576423,0.3
146.4488,10232,25672,55281e894b4445dfp,0.7337475,0.9305081,0.056433562,0.3
20.556414,4200,8746,55281e894b4445dfp,0.73182243,0.94216084,0.01041186,0.3
76.72642,8134,11354,55281e894b4445dfp,0.7301455,0.9144964,0.13851121,0.3
23.928928,13698,22920,55281e894b4445dfp,0.73002875,0.90294814,0.8383559,0.3
127.394135,14956,18702,55281e894b4445dfp,0.7278685,0.9155263,0.056162935,0.3
89.83739,15734,19102,55281e894b4445dfp,0.727146,0.9077462,0.07142717,0.3
25.175789,8318,27408,55281e894b4445dfp,0.7228761,0.95116675,0.8907725,0.3
46.16551,8200,25508,55281e894b4445dfp,0.7227779,0.90224326,0.5345296,0.3
25.691711,8502,27118,55281e894b4445dfp,0.72178257,0.930233,0.85692465,0.3
