vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
40.22299,7146,22438,570f8bf76cac1d94p,0.8155669,0.93473715,0.719039,0.3
26.05274,10010,15720,570f8bf76cac1d94p,0.7998502,0.93499905,0.8526267,0.3
43.40256,18834,21270,570f8bf76cac1d94p,0.7951391,0.88562185,0.5894456,0.3
23.162497,17048,6198,570f8bf76cac1d94p,0.7900558,0.9299679,0.8951754,0.3
22.255886,5952,14114,570f8bf76cac1d94p,0.78271455,0.93918514,0.8997452,0.3
50.747585,18616,18992,570f8bf76cac1d94p,0.7710712,0.8454492,0.49899727,0.3
23.006226,14670,10522,570f8bf76cac1d94p,0.76938653,0.9415334,0.9146295,0.3
27.397463,11978,15554,570f8bf76cac1d94p,0.7682125,0.9157874,0.86997646,0.3
31.698236,15126,20334,570f8bf76cac1d94p,0.76819634,0.9213945,0.86439437,0.3
78.130875,18626,18786,570f8bf76cac1d94p,0.7678079,0.94502074,0.10945254,0.3
23.802998,15098,8218,570f8bf76cac1d94p,0.75466144,0.93762267,0.8997334,0.3
24.76021,17464,18312,570f8bf76cac1d94p,0.75334835,0.9161234,0.7545816,0.3
27.622232,7014,23922,570f8bf76cac1d94p,0.751683,0.94565827,0.8826376,0.3
23.368261,6324,11206,570f8bf76cac1d94p,0.73567843,0.87362987,0.8275011,0.3
30.371994,7000,23956,570f8bf76cac1d94p,0.7317885,0.9309212,0.7855282,0.3
77.98951,11872,11932,570f8bf76cac1d94p,0.72238576,0.88730466,0.18198629,0.3
77.57366,18738,18736,570f8bf76cac1d94p,0.722052,0.87717915,0.13063082,0.3
22.532713,13646,8598,570f8bf76cac1d94p,0.72075295,0.93749475,0.8931488,0.3
19.230597,14682,19944,570f8bf76cac1d94p,0.7205633,0.94987446,0.90645164,0.3
22.294254,4390,10922,570f8bf76cac1d94p,0.71820813,0.9312674,0.8950299,0.3
59.893475,7102,22190,570f8bf76cac1d94p,0.7179854,0.893946,0.34547,0.3
70.399666,5174,22884,570f8bf76cac1d94p,0.7108822,0.89089584,0.18536647,0.3
44.804195,18846,18638,570f8bf76cac1d94p,0.7078627,0.8834248,0.52460784,0.3
20.517315,19224,18538,570f8bf76cac1d94p,0.7002585,0.9311311,0.8767913,0.3
20.845804,8884,7836,570f8bf76cac1d94p,0.7000879,0.8415559,0.59819394,0.3
60.72653,20924,21258,570f8bf76cac1d94p,0.696337,0.90426046,0.38889056,0.3
42.950127,17008,25838,570f8bf76cac1d94p,0.695601,0.8943984,0.67262226,0.3
92.128914,4452,21194,570f8bf76cac1d94p,0.69281256,0.86468273,0.10000758,0.3
122.3598,21326,21658,570f8bf76cac1d94p,0.68822896,0.89502895,0.06632946,0.3
23.509098,10014,15754,570f8bf76cac1d94p,0.67939436,0.9229382,0.8810474,0.3
51.224613,5016,20924,570f8bf76cac1d94p,0.67255706,0.859639,0.47303373,0.3
52.28476,8632,24238,570f8bf76cac1d94p,0.6530055,0.79064655,0.16680554,0.3
18.859959,7534,5064,570f8bf76cac1d94p,0.6495447,0.93335867,0.015709449,0.3
30.244583,13306,24754,570f8bf76cac1d94p,0.6462165,0.9122393,0.7755824,0.3
37.21221,17128,22186,570f8bf76cac1d94p,0.64355636,0.8084016,0.42347285,0.3
56.79875,8078,6778,570f8bf76cac1d94p,0.6392138,0.92994964,0.034585502,0.3
102.83896,14170,6664,570f8bf76cac1d94p,0.6306909,0.9095049,0.09053393,0.3
20.725653,9186,6956,570f8bf76cac1d94p,0.6274518,0.8580134,0.019225875,0.3
82.597824,21022,21772,570f8bf76cac1d94p,0.61598676,0.71997875,0.08476612,0.3
25.957802,10880,27974,570f8bf76cac1d94p,0.60518205,0.8351214,0.7041612,0.3
64.7935,13242,7122,570f8bf76cac1d94p,0.6020034,0.8778821,0.17507017,0.3
18.987377,21734,24150,570f8bf76cac1d94p,0.59613943,0.9198612,0.8677458,0.3
22.858799,9670,6664,570f8bf76cac1d94p,0.5668968,0.79620004,0.024966799,0.3
153.22054,19012,24000,570f8bf76cac1d94p,0.55785215,0.8380034,0.051436946,0.3
18.271126,9714,6784,570f8bf76cac1d94p,0.5565891,0.7064436,0.04217345,0.3
20.715483,9846,5264,570f8bf76cac1d94p,0.5501845,0.92855763,0.011902972,0.3
17.286701,6086,8178,570f8bf76cac1d94p,0.5491923,0.86811346,0.028805086,0.3
81.37084,16676,12884,570f8bf76cac1d94p,0.5441859,0.855485,0.16813967,0.3
121.0903,18994,23966,570f8bf76cac1d94p,0.5426791,0.7833607,0.04804333,0.3
20.496555,8856,6842,570f8bf76cac1d94p,0.5421407,0.79887134,0.068283334,0.3
93.20072,21030,21616,570f8bf76cac1d94p,0.5353195,0.6613186,0.051675726,0.3
17.95517,5272,8982,570f8bf76cac1d94p,0.53273475,0.9392826,0.01344105,0.3
22.0499,11170,6754,570f8bf76cac1d94p,0.5312165,0.90903485,0.2966828,0.3
18.8412,6388,7852,570f8bf76cac1d94p,0.52827144,0.79985386,0.024791654,0.3
17.263271,6010,8284,570f8bf76cac1d94p,0.5226419,0.9267988,0.018376956,0.3
21.436022,8954,6738,570f8bf76cac1d94p,0.5172714,0.46774766,0.03462688,0.3
17.449924,6972,7620,570f8bf76cac1d94p,0.5119774,0.8474704,0.017078135,0.3
151.91977,18438,18816,570f8bf76cac1d94p,0.5106875,0.75231826,0.056998435,0.3
27.877245,17548,16356,570f8bf76cac1d94p,0.50940275,0.8802226,0.76587963,0.3
20.018269,9704,6804,570f8bf76cac1d94p,0.5056361,0.05804776,0.05446189,0.3
28.033752,11342,6810,570f8bf76cac1d94p,0.5045922,0.84891856,0.14386499,0.3
18.06576,16656,19408,570f8bf76cac1d94p,0.49746677,0.94941986,0.89052105,0.3
19.762474,17482,18298,570f8bf76cac1d94p,0.4961844,0.92476255,0.7987568,0.3
15.733717,7524,5052,570f8bf76cac1d94p,0.4932537,0.09997355,0.052356817,0.3
20.121532,6138,8282,570f8bf76cac1d94p,0.4932202,0.91142005,0.020269647,0.3
17.87159,9190,6946,570f8bf76cac1d94p,0.4907732,0.07137662,0.06329195,0.3
21.86911,6616,8356,570f8bf76cac1d94p,0.4889066,0.8765796,0.026959587,0.3
16.300922,9164,6964,570f8bf76cac1d94p,0.48676553,0.059652194,0.056119174,0.3
75.244934,18526,21302,570f8bf76cac1d94p,0.48631757,0.8649611,0.06701689,0.3
15.935054,9156,6970,570f8bf76cac1d94p,0.48589706,0.1249392,0.049872115,0.3
18.879137,9708,6794,570f8bf76cac1d94p,0.48108092,0.053077232,0.05736863,0.3
156.00343,14942,20128,570f8bf76cac1d94p,0.4806772,0.7260901,0.05741648,0.3
149.41031,21272,21532,570f8bf76cac1d94p,0.47668082,0.7903019,0.053609986,0.3
22.064747,9272,7452,570f8bf76cac1d94p,0.476621,0.94102216,0.27769893,0.3
19.99489,9708,6810,570f8bf76cac1d94p,0.4713396,0.08918179,0.06025053,0.3
22.851585,13318,24696,570f8bf76cac1d94p,0.47088936,0.8546837,0.7584208,0.3
21.777199,9834,6962,570f8bf76cac1d94p,0.46970356,0.92003596,0.09563895,0.3
19.969234,9836,7962,570f8bf76cac1d94p,0.46963084,0.9052393,0.6527897,0.3
17.690191,8054,7208,570f8bf76cac1d94p,0.46828038,0.9068408,0.013503708,0.3
16.673729,7506,5040,570f8bf76cac1d94p,0.4676846,0.06055234,0.05235138,0.3
37.81309,19334,21506,570f8bf76cac1d94p,0.4672129,0.23480298,0.07273078,0.3
91.640915,18998,24070,570f8bf76cac1d94p,0.4666455,0.75942034,0.060827337,0.3
151.12854,8652,24588,570f8bf76cac1d94p,0.46640834,0.7577056,0.053372227,0.3
20.88627,1088,6174,570f8bf76cac1d94p,0.46511626,0.82330877,0.72031385,0.3
79.552246,15588,24400,570f8bf76cac1d94p,0.46065477,0.83840495,0.1061637,0.3
33.51145,5992,7978,570f8bf76cac1d94p,0.4581104,0.9282762,0.027058173,0.3
16.893753,5286,8956,570f8bf76cac1d94p,0.45774406,0.11425689,0.049798727,0.3
17.921936,9702,6760,570f8bf76cac1d94p,0.45741236,0.07610655,0.058030814,0.3
18.300516,11008,6732,570f8bf76cac1d94p,0.45710662,0.9410221,0.32671335,0.3
26.814144,9032,8500,570f8bf76cac1d94p,0.45649683,0.6334932,0.23451343,0.3
16.885183,9174,6958,570f8bf76cac1d94p,0.4546328,0.08296031,0.059938464,0.3
17.116096,6678,7872,570f8bf76cac1d94p,0.45438033,0.81302357,0.022114407,0.3
16.531872,5238,8958,570f8bf76cac1d94p,0.45098335,0.1068623,0.051752817,0.3
20.19696,8292,7012,570f8bf76cac1d94p,0.45076516,0.85647345,0.2538041,0.3
24.974419,12024,5536,570f8bf76cac1d94p,0.45041934,0.8691175,0.020036165,0.3
142.7532,12720,6624,570f8bf76cac1d94p,0.44951347,0.72847265,0.04824421,0.3
17.517126,6102,8180,570f8bf76cac1d94p,0.44819075,0.06890388,0.0574553,0.3
15.827114,5256,8978,570f8bf76cac1d94p,0.44515574,0.0820467,0.052251525,0.3
17.605186,5242,8964,570f8bf76cac1d94p,0.443633,0.06852585,0.054931037,0.3
16.436853,9198,6940,570f8bf76cac1d94p,0.44091612,0.06705317,0.055262532,0.3
24.842651,7330,6058,570f8bf76cac1d94p,0.4400253,0.47106248,0.040939506,0.3
21.786852,8850,7084,570f8bf76cac1d94p,0.43759537,0.95155,0.02631051,0.3
82.81784,7154,22284,570f8bf76cac1d94p,0.4369868,0.6364062,0.05279539,0.3
21.972797,12196,5438,570f8bf76cac1d94p,0.4358534,0.92952085,0.054496095,0.3
64.18367,18484,21266,570f8bf76cac1d94p,0.43444115,0.40321875,0.06376392,0.3
16.271914,7514,5050,570f8bf76cac1d94p,0.43357772,0.06699861,0.05165078,0.3
15.473907,5278,8964,570f8bf76cac1d94p,0.43252307,0.14718357,0.049861867,0.3
43.67773,5814,26636,570f8bf76cac1d94p,0.4307053,0.8522586,0.404127,0.3
23.430365,10302,7506,570f8bf76cac1d94p,0.42578197,0.40455872,0.20132303,0.3
18.193644,9698,6776,570f8bf76cac1d94p,0.42553538,0.05507436,0.052616138,0.3
15.563061,5258,8972,570f8bf76cac1d94p,0.4254351,0.08470768,0.05654474,0.3
40.83718,15544,24428,570f8bf76cac1d94p,0.42431992,0.76719254,0.10645021,0.3
24.281307,13146,6100,570f8bf76cac1d94p,0.42306766,0.8724699,0.02055354,0.3
22.834713,7482,7534,570f8bf76cac1d94p,0.42178923,0.92331576,0.018643396,0.3
17.074205,6106,8168,570f8bf76cac1d94p,0.4213548,0.07710855,0.056926303,0.3
89.933464,7462,28432,570f8bf76cac1d94p,0.42078465,0.622376,0.05052028,0.3
20.888794,11460,5456,570f8bf76cac1d94p,0.4195922,0.7653507,0.03084353,0.3
23.756691,8852,7046,570f8bf76cac1d94p,0.41634277,0.9379385,0.033705622,0.3
24.213846,9648,7434,570f8bf76cac1d94p,0.4162708,0.8812501,0.051011745,0.3
20.152557,12914,5636,570f8bf76cac1d94p,0.41614813,0.6082693,0.044784803,0.3
16.356312,5294,8954,570f8bf76cac1d94p,0.41590956,0.06269883,0.055015884,0.3
22.26706,4862,8424,570f8bf76cac1d94p,0.41328564,0.9345755,0.08430332,0.3
16.182308,5292,8944,570f8bf76cac1d94p,0.413271,0.12871328,0.04909778,0.3
28.246878,8614,7466,570f8bf76cac1d94p,0.4124121,0.9017224,0.026329242,0.3
16.46836,5250,8974,570f8bf76cac1d94p,0.41215697,0.0632761,0.051919,0.3
93.12924,8558,24226,570f8bf76cac1d94p,0.41198644,0.8521532,0.043676153,0.3
17.457678,6100,8174,570f8bf76cac1d94p,0.4116435,0.05811422,0.055489756,0.3
16.647598,9206,6934,570f8bf76cac1d94p,0.4111355,0.10855783,0.056153193,0.3
16.004412,9832,5268,570f8bf76cac1d94p,0.4107973,0.16382442,0.04720841,0.3
16.38581,5288,8964,570f8bf76cac1d94p,0.40989867,0.060257968,0.053650774,0.3
24.922192,8656,6800,570f8bf76cac1d94p,0.4087576,0.7588387,0.03243272,0.3
17.511932,8066,7202,570f8bf76cac1d94p,0.40872422,0.12255249,0.049323365,0.3
18.614023,6620,8384,570f8bf76cac1d94p,0.4077262,0.16008729,0.050174695,0.3
72.28608,5166,21226,570f8bf76cac1d94p,0.40262467,0.35809854,0.057986245,0.3
