vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
29.696672,7650,22570,583ae138189d9121p,0.85376686,0.85053504,0.69821936,0.3
26.597025,8318,22520,583ae138189d9121p,0.8474176,0.92296547,0.7752928,0.3
32.4523,9372,19394,583ae138189d9121p,0.8313837,0.1439607,0.10257758,0.3
34.200512,8296,26712,583ae138189d9121p,0.8277372,0.22324976,0.09134246,0.3
43.211483,5096,24728,583ae138189d9121p,0.82426155,0.5369417,0.16390842,0.3
46.719246,11454,23530,583ae138189d9121p,0.8183407,0.53277755,0.09147098,0.3
29.37407,12134,21326,583ae138189d9121p,0.8085726,0.063682154,0.05280795,0.3
55.506638,11624,26408,583ae138189d9121p,0.7989048,0.8974172,0.177025,0.3
32.653824,9466,20640,583ae138189d9121p,0.7985527,0.13746484,0.0799813,0.3
57.14315,10358,27226,583ae138189d9121p,0.7983745,0.7100766,0.062765375,0.3
50.433575,10808,23268,583ae138189d9121p,0.79765326,0.35198352,0.059074014,0.3
33.810608,5734,24464,583ae138189d9121p,0.7964906,0.21655156,0.101779714,0.3
21.45818,9928,22590,583ae138189d9121p,0.7957305,0.8963977,0.7666261,0.3
37.217056,8908,28432,583ae138189d9121p,0.7924087,0.7974065,0.4909603,0.3
19.579762,10364,23572,583ae138189d9121p,0.7859236,0.84864926,0.53888077,0.3
39.161266,8912,26176,583ae138189d9121p,0.78330195,0.45022106,0.10927092,0.3
49.4982,9820,25912,583ae138189d9121p,0.7796804,0.31780195,0.053574067,0.3
33.08719,7926,19096,583ae138189d9121p,0.77840894,0.08091141,0.051884376,0.3
32.377087,8058,19374,583ae138189d9121p,0.7771744,0.17656381,0.075913064,0.3
34.205322,9376,26592,583ae138189d9121p,0.77704334,0.214457,0.05936974,0.3
31.68129,5800,24896,583ae138189d9121p,0.7768897,0.16272175,0.06377418,0.3
36.2743,11870,22620,583ae138189d9121p,0.7758525,0.13098644,0.056766734,0.3
30.731922,6528,24228,583ae138189d9121p,0.77563214,0.27107695,0.14570619,0.3
65.55516,17396,25964,583ae138189d9121p,0.77391833,0.9451504,0.030474542,0.3
52.04078,12800,27030,583ae138189d9121p,0.7733047,0.6439036,0.07970214,0.3
29.331398,10906,20280,583ae138189d9121p,0.76642525,0.07508865,0.05745554,0.3
36.8349,7540,25740,583ae138189d9121p,0.764228,0.32192385,0.083146125,0.3
29.119057,7900,17642,583ae138189d9121p,0.7637057,0.6159184,0.15561967,0.3
30.675154,10050,19828,583ae138189d9121p,0.76291883,0.060893774,0.052049726,0.3
109.30241,17108,26058,583ae138189d9121p,0.75912344,0.9430078,0.037936267,0.3
30.7188,8500,20752,583ae138189d9121p,0.75787973,0.26436985,0.12279195,0.3
51.737366,7520,17438,583ae138189d9121p,0.75613266,0.84816307,0.06418983,0.3
31.750885,8892,19182,583ae138189d9121p,0.7507998,0.061780896,0.05283694,0.3
44.086815,9360,25664,583ae138189d9121p,0.74913687,0.25972405,0.05110499,0.3
26.587482,8302,18126,583ae138189d9121p,0.7490165,0.078779355,0.058920514,0.3
22.014105,9620,18028,583ae138189d9121p,0.7484325,0.9147983,0.56795746,0.3
28.285921,7388,24784,583ae138189d9121p,0.747503,0.6981119,0.4010227,0.3
30.753956,8964,19328,583ae138189d9121p,0.7468907,0.06626556,0.059241775,0.3
29.9463,12050,20850,583ae138189d9121p,0.74413395,0.917956,0.18106204,0.3
20.885056,9198,18236,583ae138189d9121p,0.74164945,0.9271494,0.57647806,0.3
76.645035,7586,18488,583ae138189d9121p,0.7382633,0.8922321,0.05558406,0.3
40.251995,5758,25246,583ae138189d9121p,0.7349948,0.3030603,0.06993293,0.3
34.854523,16256,26700,583ae138189d9121p,0.7349293,0.73328185,0.43005264,0.3
20.298147,7652,22734,583ae138189d9121p,0.7347011,0.92103106,0.47082585,0.3
29.803234,8452,26520,583ae138189d9121p,0.73271066,0.1516955,0.056714166,0.3
28.105663,7878,18358,583ae138189d9121p,0.72878295,0.06708081,0.051424854,0.3
27.04426,7420,18734,583ae138189d9121p,0.7282314,0.8664616,0.17229337,0.3
25.36564,8132,18916,583ae138189d9121p,0.7263923,0.6175559,0.26058495,0.3
135.79233,11418,26070,583ae138189d9121p,0.7261124,0.88500756,0.046138868,0.3
19.416058,7288,22768,583ae138189d9121p,0.72477543,0.87975776,0.5978157,0.3
61.881104,7766,22862,583ae138189d9121p,0.7235049,0.6213775,0.069748856,0.3
20.519972,10652,24032,583ae138189d9121p,0.7230333,0.8788171,0.777393,0.3
22.067507,13978,25998,583ae138189d9121p,0.72293556,0.93283784,0.870671,0.3
30.51458,8730,19076,583ae138189d9121p,0.72145844,0.059062794,0.052001595,0.3
39.318153,7924,26246,583ae138189d9121p,0.7201293,0.43844107,0.15162875,0.3
55.398273,10750,20248,583ae138189d9121p,0.71667624,0.66627485,0.059213,0.3
21.522202,4990,17518,583ae138189d9121p,0.7155685,0.90238875,0.59274614,0.3
30.609394,7822,18984,583ae138189d9121p,0.7112807,0.0751313,0.051916253,0.3
35.116592,10242,28328,583ae138189d9121p,0.7106359,0.8187276,0.2568648,0.3
60.0762,5646,21554,583ae138189d9121p,0.70937246,0.69346493,0.087422185,0.3
31.443405,5854,24924,583ae138189d9121p,0.7085773,0.6153787,0.18491668,0.3
31.09541,10906,20852,583ae138189d9121p,0.7066065,0.08078938,0.055817723,0.3
31.62939,9834,23342,583ae138189d9121p,0.706363,0.43422836,0.23744561,0.3
30.248842,9904,19790,583ae138189d9121p,0.7048454,0.06222956,0.053583674,0.3
28.5383,9148,19300,583ae138189d9121p,0.69946307,0.088832885,0.057552133,0.3
60.560955,7016,21790,583ae138189d9121p,0.69915175,0.71003497,0.07976025,0.3
19.937263,11514,19048,583ae138189d9121p,0.69697315,0.94252765,0.7059314,0.3
17.468956,5368,17526,583ae138189d9121p,0.69541866,0.94397044,0.88953173,0.3
19.756474,4962,17478,583ae138189d9121p,0.69509906,0.9423167,0.6450771,0.3
29.763458,8840,17452,583ae138189d9121p,0.6942079,0.117995664,0.056253478,0.3
31.948166,8526,18874,583ae138189d9121p,0.6881915,0.061111655,0.05077621,0.3
23.724743,4136,17346,583ae138189d9121p,0.68637425,0.9292362,0.065608755,0.3
42.13461,7536,17734,583ae138189d9121p,0.6815696,0.14964046,0.048624687,0.3
24.977333,11250,19282,583ae138189d9121p,0.6782292,0.4018856,0.27679083,0.3
17.858837,10232,23898,583ae138189d9121p,0.67794794,0.9105646,0.7693054,0.3
27.209522,8880,18328,583ae138189d9121p,0.67765784,0.061411854,0.053593326,0.3
32.5029,12044,22966,583ae138189d9121p,0.6734523,0.11657882,0.051209994,0.3
34.467583,12446,19338,583ae138189d9121p,0.67304796,0.9085645,0.109197326,0.3
21.763226,10670,18662,583ae138189d9121p,0.6719096,0.9038753,0.49777701,0.3
28.140404,7060,18532,583ae138189d9121p,0.6705372,0.06562297,0.053034987,0.3
28.418053,7146,18708,583ae138189d9121p,0.6670745,0.06684208,0.04925596,0.3
22.833035,10206,26610,583ae138189d9121p,0.6664951,0.94497806,0.6871102,0.3
26.526733,11826,20638,583ae138189d9121p,0.66572833,0.7043647,0.5441495,0.3
19.506681,7028,28640,583ae138189d9121p,0.66342306,0.9247395,0.8159491,0.3
28.793549,3512,18324,583ae138189d9121p,0.66174394,0.94334316,0.019362759,0.3
28.261976,7500,17626,583ae138189d9121p,0.6609733,0.062617555,0.051875535,0.3
95.44433,7580,18218,583ae138189d9121p,0.66044354,0.7997379,0.053879313,0.3
21.100277,12584,23618,583ae138189d9121p,0.66038436,0.91395366,0.71727586,0.3
25.9513,12156,21276,583ae138189d9121p,0.6590923,0.14550593,0.062438603,0.3
24.424007,8816,18252,583ae138189d9121p,0.6557028,0.2213493,0.07238981,0.3
26.738823,15128,27270,583ae138189d9121p,0.65043974,0.7283287,0.45321608,0.3
98.659805,5382,22046,583ae138189d9121p,0.64568734,0.89484185,0.064644344,0.3
27.705002,10652,18508,583ae138189d9121p,0.6443788,0.5223121,0.13300607,0.3
34.789333,10724,20280,583ae138189d9121p,0.63896,0.12811746,0.05023448,0.3
24.621086,7924,18358,583ae138189d9121p,0.6383505,0.20960955,0.05359976,0.3
27.27787,11364,20338,583ae138189d9121p,0.6360383,0.14400358,0.055205885,0.3
32.621284,8888,18486,583ae138189d9121p,0.6287359,0.8862318,0.04940646,0.3
36.745304,4670,24836,583ae138189d9121p,0.6282448,0.6331363,0.1815066,0.3
37.275993,9854,19692,583ae138189d9121p,0.6267014,0.06854127,0.04848282,0.3
31.55715,9410,25776,583ae138189d9121p,0.6215006,0.83864975,0.12183847,0.3
19.20416,10858,18428,583ae138189d9121p,0.621465,0.9344031,0.61545557,0.3
31.276001,11418,20386,583ae138189d9121p,0.62086195,0.063860886,0.051071342,0.3
77.36545,8700,28480,583ae138189d9121p,0.6205771,0.81069124,0.067971274,0.3
26.429451,8760,19050,583ae138189d9121p,0.616102,0.38827333,0.06003418,0.3
21.144363,9934,17598,583ae138189d9121p,0.6158532,0.9177587,0.3992855,0.3
29.816639,8524,23688,583ae138189d9121p,0.6107754,0.63462555,0.15697859,0.3
18.243353,10028,17740,583ae138189d9121p,0.6068087,0.9515902,0.7437061,0.3
18.074665,10264,17806,583ae138189d9121p,0.59515405,0.9227705,0.728686,0.3
20.350601,4282,18660,583ae138189d9121p,0.59111804,0.9349299,0.48396403,0.3
18.388731,10436,17832,583ae138189d9121p,0.58887666,0.93966,0.6544755,0.3
16.773808,3908,18958,583ae138189d9121p,0.58754086,0.94451594,0.7712088,0.3
17.254738,4068,18842,583ae138189d9121p,0.58274525,0.93355995,0.73404264,0.3
46.17591,12228,27798,583ae138189d9121p,0.58208674,0.60344404,0.070777565,0.3
26.308075,4242,17452,583ae138189d9121p,0.5797753,0.9389764,0.022863474,0.3
24.283382,3496,18342,583ae138189d9121p,0.57764333,0.90067506,0.014955845,0.3
36.465015,12630,24592,583ae138189d9121p,0.577438,0.117344655,0.049686316,0.3
34.939972,7500,18358,583ae138189d9121p,0.5731354,0.8164841,0.057558328,0.3
129.08351,5372,23130,583ae138189d9121p,0.5723692,0.9006855,0.04691997,0.3
36.37951,8756,19988,583ae138189d9121p,0.57113576,0.40243036,0.04505375,0.3
24.270725,3510,18344,583ae138189d9121p,0.5697616,0.9029816,0.018847903,0.3
19.463156,10470,17878,583ae138189d9121p,0.5676037,0.9413308,0.4962929,0.3
97.76276,8494,19526,583ae138189d9121p,0.5665779,0.7622066,0.04179326,0.3
62.613586,17092,25758,583ae138189d9121p,0.56522,0.45707172,0.054071892,0.3
26.29368,10142,22988,583ae138189d9121p,0.55945265,0.47605586,0.22771683,0.3
18.821257,11406,18970,583ae138189d9121p,0.558578,0.9446854,0.64154416,0.3
18.746292,4278,18690,583ae138189d9121p,0.5523206,0.94441473,0.5853378,0.3
17.14352,5214,17528,583ae138189d9121p,0.5494594,0.9231645,0.7991066,0.3
33.044147,5108,25108,583ae138189d9121p,0.54134434,0.10106007,0.048174873,0.3
17.834005,11580,18958,583ae138189d9121p,0.5386001,0.93681014,0.6439925,0.3
21.517927,8862,24072,583ae138189d9121p,0.5381719,0.913532,0.49661562,0.3
20.221899,11066,18668,583ae138189d9121p,0.537966,0.95000124,0.52715546,0.3
27.600868,9536,21648,583ae138189d9121p,0.5340929,0.48713592,0.15800278,0.3
19.055973,10920,18484,583ae138189d9121p,0.53325826,0.9396134,0.6138369,0.3
21.411736,7648,17256,583ae138189d9121p,0.53151405,0.23976474,0.049184915,0.3
24.559736,17112,25148,583ae138189d9121p,0.5314665,0.923592,0.042670634,0.3
30.533485,7322,18870,583ae138189d9121p,0.52442104,0.07213154,0.05034691,0.3
22.080297,8372,18884,583ae138189d9121p,0.5187236,0.92560226,0.32005763,0.3
17.428991,4936,17598,583ae138189d9121p,0.5138808,0.93619454,0.72931874,0.3
24.67428,16766,24602,583ae138189d9121p,0.51375026,0.93818116,0.021494128,0.3
20.838766,13714,21992,583ae138189d9121p,0.5135552,0.9293661,0.7656553,0.3
18.249119,5402,17468,583ae138189d9121p,0.512966,0.89532995,0.7847789,0.3
19.860023,10530,17872,583ae138189d9121p,0.5101975,0.9051554,0.40764078,0.3
31.624275,7222,18716,583ae138189d9121p,0.50578547,0.072609894,0.049241316,0.3
20.89882,7744,18606,583ae138189d9121p,0.49808115,0.90576977,0.43454745,0.3
22.674234,14086,26040,583ae138189d9121p,0.4977382,0.91909784,0.39936572,0.3
17.770748,4248,22766,583ae138189d9121p,0.49309412,0.92646277,0.55832136,0.3
19.144157,10872,18386,583ae138189d9121p,0.49307293,0.95356685,0.5331716,0.3
24.675003,3500,18322,583ae138189d9121p,0.49074277,0.9181785,0.015643958,0.3
31.703167,7316,18874,583ae138189d9121p,0.48649913,0.07650156,0.051060863,0.3
86.20372,8736,19996,583ae138189d9121p,0.48540848,0.6969743,0.05237266,0.3
21.7336,10050,23514,583ae138189d9121p,0.48388094,0.92973256,0.40386674,0.3
21.864918,4150,17466,583ae138189d9121p,0.483739,0.9313723,0.031659268,0.3
25.933449,3768,18118,583ae138189d9121p,0.48083407,0.9335562,0.021476757,0.3
17.889338,13696,21384,583ae138189d9121p,0.4792024,0.9494928,0.470548,0.3
19.572838,4754,20570,583ae138189d9121p,0.4702621,0.90006155,0.7230884,0.3
20.049961,6454,17930,583ae138189d9121p,0.4667195,0.92953515,0.78692317,0.3
49.2669,7414,18834,583ae138189d9121p,0.466196,0.27758932,0.048142742,0.3
