vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
25.215101,2376,11656,679f1af0ae91e23ep,0.86361086,0.90863466,0.81037676,0.3
29.418217,4998,15180,679f1af0ae91e23ep,0.8593919,0.90688866,0.78568274,0.3
23.265398,872,5216,679f1af0ae91e23ep,0.855462,0.9051076,0.75386727,0.3
26.605951,17134,13030,679f1af0ae91e23ep,0.8436187,0.9340184,0.8502742,0.3
19.614407,6288,5228,679f1af0ae91e23ep,0.84116673,0.87734646,0.668713,0.3
29.942963,7162,4276,679f1af0ae91e23ep,0.83975905,0.084883496,0.05602623,0.3
32.253056,5234,9376,679f1af0ae91e23ep,0.83770484,0.13779193,0.07864288,0.3
29.229029,8400,18516,679f1af0ae91e23ep,0.8376133,0.88739264,0.6660232,0.3
28.330788,8482,18190,679f1af0ae91e23ep,0.8340142,0.9182729,0.8181461,0.3
20.643948,6956,12510,679f1af0ae91e23ep,0.83244383,0.794865,0.718133,0.3
51.11982,9406,7344,679f1af0ae91e23ep,0.8305654,0.6906234,0.1431866,0.3
22.461605,14776,23106,679f1af0ae91e23ep,0.82656324,0.9346396,0.9032827,0.3
75.98955,10214,9572,679f1af0ae91e23ep,0.8256317,0.93251884,0.098639525,0.3
34.75173,13074,13110,679f1af0ae91e23ep,0.82517976,0.15784924,0.07063931,0.3
24.812996,12336,14610,679f1af0ae91e23ep,0.82439005,0.65728456,0.57158846,0.3
24.524982,14346,22316,679f1af0ae91e23ep,0.8243555,0.9367592,0.89086485,0.3
32.394516,8812,18070,679f1af0ae91e23ep,0.82384217,0.9003748,0.7309529,0.3
83.50145,11082,15292,679f1af0ae91e23ep,0.8212217,0.9403012,0.08209606,0.3
42.154495,8502,6904,679f1af0ae91e23ep,0.8175873,0.2526234,0.054237843,0.3
28.870886,9098,18746,679f1af0ae91e23ep,0.8156407,0.8527697,0.50720245,0.3
22.701017,8312,18388,679f1af0ae91e23ep,0.81049204,0.9212055,0.8834746,0.3
32.179913,9564,6256,679f1af0ae91e23ep,0.8078636,0.12200419,0.06375306,0.3
29.466278,6148,10156,679f1af0ae91e23ep,0.80487156,0.08704606,0.068702325,0.3
87.07442,13156,19858,679f1af0ae91e23ep,0.80311537,0.9424334,0.109882385,0.3
28.996342,8602,3916,679f1af0ae91e23ep,0.80077446,0.063389376,0.054921784,0.3
26.236279,11652,15424,679f1af0ae91e23ep,0.7991578,0.71029276,0.6189355,0.3
32.52624,5990,10348,679f1af0ae91e23ep,0.7989117,0.10757862,0.06534088,0.3
29.684063,9922,11434,679f1af0ae91e23ep,0.79782903,0.063064605,0.05508508,0.3
30.713787,2790,8364,679f1af0ae91e23ep,0.7957623,0.08651731,0.06702215,0.3
28.924234,9730,19306,679f1af0ae91e23ep,0.794092,0.8764062,0.8050174,0.3
