vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
58.829426,4656,14844,8e8df9a7440c1243p,0.80422974,0.8891926,0.052044794,0.3
43.240696,12422,15950,8e8df9a7440c1243p,0.7864622,0.2340696,0.063974254,0.3
38.96862,7584,13556,8e8df9a7440c1243p,0.78230214,0.062080164,0.052081354,0.3
52.690674,12672,11794,8e8df9a7440c1243p,0.78155667,0.8705067,0.19999766,0.3
34.342117,4334,15348,8e8df9a7440c1243p,0.77874416,0.7058444,0.17385134,0.3
54.543037,4450,14808,8e8df9a7440c1243p,0.7772064,0.56396866,0.05046714,0.3
39.22148,10006,14846,8e8df9a7440c1243p,0.769814,0.10756539,0.049202118,0.3
46.35074,11094,14278,8e8df9a7440c1243p,0.7525156,0.13046025,0.05294385,0.3
41.47296,11490,14120,8e8df9a7440c1243p,0.75066376,0.06613319,0.053714085,0.3
65.86565,10200,11428,8e8df9a7440c1243p,0.7490969,0.72105,0.06387301,0.3
42.07441,7694,13456,8e8df9a7440c1243p,0.7473089,0.1173044,0.053756937,0.3
38.521885,10380,15426,8e8df9a7440c1243p,0.7429344,0.11619059,0.05860667,0.3
40.67344,7832,13726,8e8df9a7440c1243p,0.738075,0.7088237,0.11397703,0.3
57.08457,4692,14762,8e8df9a7440c1243p,0.73428863,0.81353986,0.05359756,0.3
37.984398,7562,13464,8e8df9a7440c1243p,0.7328849,0.057495773,0.05175296,0.3
44.45932,6816,13464,8e8df9a7440c1243p,0.7326159,0.4538642,0.07987644,0.3
50.239544,4274,15608,8e8df9a7440c1243p,0.73256296,0.18312132,0.050159864,0.3
40.00042,10952,13432,8e8df9a7440c1243p,0.7229797,0.07478431,0.05954194,0.3
38.053787,10112,14938,8e8df9a7440c1243p,0.7171035,0.18385002,0.073648706,0.3
40.07537,7014,13364,8e8df9a7440c1243p,0.7148522,0.058668,0.05253535,0.3
37.99547,7028,13462,8e8df9a7440c1243p,0.7140588,0.057168458,0.053147018,0.3
39.256165,10932,14716,8e8df9a7440c1243p,0.71281517,0.06040373,0.05376449,0.3
78.2607,7874,13644,8e8df9a7440c1243p,0.71179235,0.59913754,0.049905993,0.3
57.39749,7676,11718,8e8df9a7440c1243p,0.71113926,0.87159383,0.15251172,0.3
33.116165,8620,14562,8e8df9a7440c1243p,0.70739675,0.08484074,0.060905572,0.3
40.437973,12308,14232,8e8df9a7440c1243p,0.7067069,0.06214842,0.05390191,0.3
39.14076,14122,14102,8e8df9a7440c1243p,0.70438653,0.08872068,0.05732526,0.3
38.101707,7278,13626,8e8df9a7440c1243p,0.7026714,0.056928292,0.05248709,0.3
34.710945,6958,14512,8e8df9a7440c1243p,0.6984657,0.101782866,0.06489707,0.3
64.25723,11590,14740,8e8df9a7440c1243p,0.6978613,0.32376897,0.050329123,0.3
46.203163,10718,13234,8e8df9a7440c1243p,0.6964661,0.7021347,0.13837004,0.3
41.91704,20188,20214,8e8df9a7440c1243p,0.69190544,0.8206866,0.13945447,0.3
47.18235,14312,14170,8e8df9a7440c1243p,0.6900098,0.121862896,0.05316641,0.3
41.30252,13256,16532,8e8df9a7440c1243p,0.6876983,0.2934495,0.11141674,0.3
38.217587,8834,12622,8e8df9a7440c1243p,0.68607855,0.06167201,0.054749783,0.3
49.231552,13472,13496,8e8df9a7440c1243p,0.6851649,0.27686673,0.06472179,0.3
45.943493,13432,16598,8e8df9a7440c1243p,0.6847135,0.11068234,0.049532548,0.3
40.495068,6714,13152,8e8df9a7440c1243p,0.68464017,0.059177935,0.05221016,0.3
28.140713,7234,14390,8e8df9a7440c1243p,0.6827514,0.7595006,0.4003606,0.3
39.059517,7406,13348,8e8df9a7440c1243p,0.6809436,0.06231612,0.051739074,0.3
32.285328,10348,15760,8e8df9a7440c1243p,0.6809315,0.13966896,0.062448665,0.3
37.67372,9892,13718,8e8df9a7440c1243p,0.6801356,0.07911165,0.054629996,0.3
35.329876,10698,16300,8e8df9a7440c1243p,0.67979175,0.095856845,0.0547573,0.3
42.597195,12022,15356,8e8df9a7440c1243p,0.67637885,0.06314879,0.05226729,0.3
33.7426,13682,18204,8e8df9a7440c1243p,0.676026,0.063816935,0.05341321,0.3
39.43218,10648,13832,8e8df9a7440c1243p,0.6757483,0.13632257,0.07331564,0.3
37.156643,10266,15512,8e8df9a7440c1243p,0.67560464,0.1616264,0.05590747,0.3
39.891083,7290,13298,8e8df9a7440c1243p,0.67160016,0.060819894,0.05136179,0.3
28.7877,10176,16174,8e8df9a7440c1243p,0.67159104,0.15621817,0.059303306,0.3
34.397717,13282,15896,8e8df9a7440c1243p,0.67000467,0.6596527,0.33734885,0.3
38.304375,17734,19218,8e8df9a7440c1243p,0.66928935,0.7410255,0.079284325,0.3
65.30498,13344,15740,8e8df9a7440c1243p,0.6682819,0.730351,0.06526527,0.3
36.613354,5158,14838,8e8df9a7440c1243p,0.66793877,0.14395413,0.04800335,0.3
42.206802,10470,13768,8e8df9a7440c1243p,0.6669,0.06260638,0.051328972,0.3
38.50956,7180,13344,8e8df9a7440c1243p,0.66367614,0.058493573,0.05230012,0.3
39.39016,19966,18320,8e8df9a7440c1243p,0.66156805,0.06852317,0.056379084,0.3
61.835144,13690,16024,8e8df9a7440c1243p,0.6603128,0.32523173,0.04694258,0.3
28.551762,10164,16092,8e8df9a7440c1243p,0.6596236,0.120366186,0.055296477,0.3
