vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
22.28341,14380,27812,97e4833c46771a67p,0.852416,0.92490035,0.8801087,0.3
26.074648,10078,16032,97e4833c46771a67p,0.80677783,0.9278617,0.7930179,0.3
75.92956,13290,16032,97e4833c46771a67p,0.80441236,0.9447527,0.1288591,0.3
22.538544,9242,16448,97e4833c46771a67p,0.7974473,0.9271745,0.8321999,0.3
79.92766,15546,27682,97e4833c46771a67p,0.7929975,0.92861605,0.121036515,0.3
24.331532,16268,6846,97e4833c46771a67p,0.77908283,0.9239076,0.83978975,0.3
16.674824,6800,5810,97e4833c46771a67p,0.77132046,0.9474494,0.9101483,0.3
78.67618,20256,5446,97e4833c46771a67p,0.7572047,0.93899643,0.16642761,0.3
35.841564,11366,5296,97e4833c46771a67p,0.75044525,0.9170842,0.7253908,0.3
23.092192,11410,22396,97e4833c46771a67p,0.7504362,0.9078299,0.7934609,0.3
72.50462,11166,19970,97e4833c46771a67p,0.7431965,0.89087677,0.107580066,0.3
90.17196,10484,12228,97e4833c46771a67p,0.7075287,0.8737104,0.10861437,0.3
59.48141,11970,20052,97e4833c46771a67p,0.7062935,0.9237609,0.21199827,0.3
74.310616,11486,19998,97e4833c46771a67p,0.70010823,0.9101839,0.17375785,0.3
109.25019,8916,8334,97e4833c46771a67p,0.6917491,0.91396594,0.071004175,0.3
147.6099,6038,6964,97e4833c46771a67p,0.68634534,0.9152247,0.05059853,0.3
22.326916,7186,15106,97e4833c46771a67p,0.6733533,0.9296046,0.61144847,0.3
85.91533,11864,17758,97e4833c46771a67p,0.66721797,0.9329694,0.07527381,0.3
21.06291,12730,24676,97e4833c46771a67p,0.65990084,0.93352497,0.8136588,0.3
91.16543,12664,12356,97e4833c46771a67p,0.6598229,0.902642,0.091865,0.3
124.32915,8208,13202,97e4833c46771a67p,0.6546706,0.89608955,0.061410107,0.3
44.957115,16658,18206,97e4833c46771a67p,0.6279247,0.9151034,0.556491,0.3
25.710546,15778,28150,97e4833c46771a67p,0.62515384,0.86571926,0.79338664,0.3
99.18562,13614,9648,97e4833c46771a67p,0.6173771,0.9006272,0.114495486,0.3
20.083544,11368,23322,97e4833c46771a67p,0.6164749,0.92200786,0.8073047,0.3
32.92881,11872,26142,97e4833c46771a67p,0.59899586,0.8698927,0.24414359,0.3
25.474081,11430,23960,97e4833c46771a67p,0.598987,0.82400084,0.61738896,0.3
20.622303,10960,18138,97e4833c46771a67p,0.5935463,0.8942028,0.8343047,0.3
22.65486,6316,16434,97e4833c46771a67p,0.5871823,0.94316894,0.010331886,0.3
16.18721,8788,19406,97e4833c46771a67p,0.586892,0.055732083,0.053838097,0.3
93.774864,14316,24266,97e4833c46771a67p,0.5828393,0.8298187,0.073365174,0.3
153.05037,17094,25484,97e4833c46771a67p,0.5796432,0.80857205,0.04893925,0.3
19.090796,8808,19694,97e4833c46771a67p,0.5676117,0.9263638,0.01067597,0.3
19.806656,8806,19410,97e4833c46771a67p,0.56395614,0.9120221,0.012991618,0.3
23.42745,8956,19422,97e4833c46771a67p,0.5608005,0.9213186,0.013105201,0.3
39.97019,11968,20866,97e4833c46771a67p,0.557781,0.8721838,0.3389683,0.3
18.64669,11528,9180,97e4833c46771a67p,0.5568972,0.93516076,0.7122473,0.3
21.043507,9670,19104,97e4833c46771a67p,0.5529097,0.87951726,0.39383703,0.3
66.295815,4596,11828,97e4833c46771a67p,0.5511784,0.85625374,0.13242081,0.3
54.48536,18830,7948,97e4833c46771a67p,0.5344118,0.8700152,0.3371779,0.3
31.486654,7428,4870,97e4833c46771a67p,0.529271,0.8882445,0.7219107,0.3
184.20474,14422,20810,97e4833c46771a67p,0.5269393,0.8335231,0.049486782,0.3
76.61876,18404,7186,97e4833c46771a67p,0.5200931,0.86339784,0.1649458,0.3
41.43278,11200,21054,97e4833c46771a67p,0.5148594,0.87507814,0.2658162,0.3
53.322098,7464,4728,97e4833c46771a67p,0.5130655,0.85348606,0.3579965,0.3
156.71461,10838,16304,97e4833c46771a67p,0.51230615,0.8091709,0.046660695,0.3
52.561703,13584,6370,97e4833c46771a67p,0.5094915,0.8304421,0.30002707,0.3
132.29602,15742,10644,97e4833c46771a67p,0.50875854,0.8243606,0.054838955,0.3
57.394176,10408,17804,97e4833c46771a67p,0.5086695,0.9354588,0.16062313,0.3
25.354559,9216,19548,97e4833c46771a67p,0.5026723,0.9161142,0.016430665,0.3
61.723705,13586,7074,97e4833c46771a67p,0.49775004,0.8133923,0.18267983,0.3
47.768383,11788,22044,97e4833c46771a67p,0.49221715,0.81775427,0.09003715,0.3
16.628696,8774,19392,97e4833c46771a67p,0.48191035,0.07699169,0.05367723,0.3
18.179483,8728,19356,97e4833c46771a67p,0.47987387,0.9244247,0.012341402,0.3
17.114534,8800,19416,97e4833c46771a67p,0.4794024,0.08644802,0.052392036,0.3
16.905804,8780,19398,97e4833c46771a67p,0.4770685,0.05360942,0.054896258,0.3
70.12992,12900,10820,97e4833c46771a67p,0.4755304,0.8262873,0.12456639,0.3
16.24861,8796,19410,97e4833c46771a67p,0.47328398,0.05640705,0.055598013,0.3
18.53032,10720,26750,97e4833c46771a67p,0.4675065,0.8665331,0.6327417,0.3
17.88274,8524,16882,97e4833c46771a67p,0.46613297,0.9262301,0.5067446,0.3
18.49458,6298,14412,97e4833c46771a67p,0.46476442,0.9482961,0.49708956,0.3
137.36841,8528,13506,97e4833c46771a67p,0.46239257,0.8020522,0.057874084,0.3
35.07193,12910,14928,97e4833c46771a67p,0.46234393,0.7499367,0.5819987,0.3
26.363503,6648,23662,97e4833c46771a67p,0.46232674,0.94065446,0.008007982,0.3
67.32785,12912,17366,97e4833c46771a67p,0.4502919,0.7994128,0.113594316,0.3
16.71438,8972,19420,97e4833c46771a67p,0.447507,0.05507912,0.05596808,0.3
38.343117,5384,13414,97e4833c46771a67p,0.4466646,0.86682135,0.19241348,0.3
90.28008,10096,12758,97e4833c46771a67p,0.4453366,0.8069294,0.11414818,0.3
19.25737,8616,19166,97e4833c46771a67p,0.44356847,0.9322389,0.009136472,0.3
21.715143,17520,19898,97e4833c46771a67p,0.4396534,0.867767,0.7821712,0.3
106.29851,13824,7174,97e4833c46771a67p,0.4369279,0.7100734,0.058168694,0.3
29.700573,12634,4032,97e4833c46771a67p,0.43666297,0.834275,0.39968482,0.3
47.091236,12890,10818,97e4833c46771a67p,0.43397063,0.94647837,0.20137392,0.3
18.20842,8286,10286,97e4833c46771a67p,0.43213052,0.94059527,0.7100791,0.3
16.246357,10828,15632,97e4833c46771a67p,0.43164706,0.9472506,0.71659684,0.3
111.55127,8560,4564,97e4833c46771a67p,0.42943737,0.8055291,0.07381444,0.3
17.243433,8988,19416,97e4833c46771a67p,0.4215949,0.06387964,0.057645258,0.3
27.643776,2508,22006,97e4833c46771a67p,0.41634142,0.85930955,0.04308803,0.3
17.463272,8742,19380,97e4833c46771a67p,0.415913,0.121607654,0.04713072,0.3
17.426994,7532,14584,97e4833c46771a67p,0.41413516,0.8668047,0.6738503,0.3
65.127304,9236,27432,97e4833c46771a67p,0.40724012,0.9157211,0.013601981,0.3
17.05313,8970,19426,97e4833c46771a67p,0.40720493,0.050980702,0.054040696,0.3
17.53577,8834,19704,97e4833c46771a67p,0.40381315,0.055812377,0.05291096,0.3
27.211763,10982,20494,97e4833c46771a67p,0.4018942,0.69789666,0.33945417,0.3
17.496159,8824,19712,97e4833c46771a67p,0.4018547,0.05450221,0.055392668,0.3
17.605679,8804,19706,97e4833c46771a67p,0.39157295,0.054520253,0.059000082,0.3
29.824375,5814,19824,97e4833c46771a67p,0.38941932,0.9428041,0.007891326,0.3
50.404617,2690,22366,97e4833c46771a67p,0.38434044,0.9246065,0.019030362,0.3
21.050095,1788,20776,97e4833c46771a67p,0.3831246,0.9226606,0.12743856,0.3
20.357887,6518,15050,97e4833c46771a67p,0.37688473,0.9546318,0.021214915,0.3
17.596453,8842,19708,97e4833c46771a67p,0.3760627,0.07841912,0.05078415,0.3
141.67996,9402,4124,97e4833c46771a67p,0.37562913,0.77051663,0.05248194,0.3
31.082344,12918,14928,97e4833c46771a67p,0.36817417,0.8423478,0.6685802,0.3
17.602108,11062,14878,97e4833c46771a67p,0.36782074,0.95677644,0.49451426,0.3
17.820362,8812,19708,97e4833c46771a67p,0.36759967,0.053704273,0.05817507,0.3
16.769585,8826,19702,97e4833c46771a67p,0.36602935,0.077580705,0.06522772,0.3
19.007761,6944,16706,97e4833c46771a67p,0.36274785,0.9551257,0.009273052,0.3
21.409882,16530,25346,97e4833c46771a67p,0.362109,0.92426836,0.515455,0.3
23.49501,3212,15450,97e4833c46771a67p,0.36144477,0.9394859,0.009206923,0.3
24.933512,7162,19244,97e4833c46771a67p,0.36026698,0.87988627,0.014902825,0.3
18.17521,10520,22068,97e4833c46771a67p,0.35969839,0.53893065,0.023082651,0.3
18.291096,8556,18808,97e4833c46771a67p,0.35909316,0.07375793,0.05115231,0.3
18.225126,10530,22054,97e4833c46771a67p,0.35543117,0.33761483,0.034748092,0.3
16.2488,8982,19424,97e4833c46771a67p,0.35254115,0.051267542,0.054650333,0.3
18.577242,8556,18816,97e4833c46771a67p,0.35234267,0.07009436,0.050608262,0.3
20.418098,10760,20850,97e4833c46771a67p,0.34921846,0.86456776,0.029534254,0.3
25.76122,9220,19536,97e4833c46771a67p,0.3469888,0.61090064,0.030856188,0.3
20.313469,7960,10152,97e4833c46771a67p,0.34575233,0.8960756,0.47471464,0.3
23.019724,3294,25094,97e4833c46771a67p,0.34379953,0.9521927,0.011877834,0.3
43.463257,7472,4728,97e4833c46771a67p,0.34320518,0.9130739,0.25849488,0.3
22.753145,10974,20496,97e4833c46771a67p,0.3430928,0.7676314,0.40682262,0.3
135.87091,6634,3988,97e4833c46771a67p,0.34288567,0.7759676,0.058070384,0.3
23.05578,3084,14088,97e4833c46771a67p,0.34272468,0.9425494,0.029660316,0.3
16.39626,8722,19362,97e4833c46771a67p,0.3421121,0.12755732,0.04908011,0.3
16.768534,13496,12140,97e4833c46771a67p,0.34154436,0.94607514,0.7137861,0.3
22.111568,9168,20100,97e4833c46771a67p,0.3402603,0.9489958,0.009944004,0.3
43.373535,13578,6372,97e4833c46771a67p,0.33958173,0.79824114,0.2698753,0.3
30.709892,11320,25336,97e4833c46771a67p,0.3394391,0.8861541,0.037469193,0.3
28.404205,7110,15500,97e4833c46771a67p,0.3382275,0.7899578,0.14037322,0.3
17.642431,8624,19206,97e4833c46771a67p,0.3380966,0.05530462,0.053391133,0.3
23.152983,10768,20842,97e4833c46771a67p,0.33737534,0.47785884,0.032840237,0.3
17.532576,8620,19178,97e4833c46771a67p,0.33435363,0.112493604,0.051239554,0.3
28.636936,6190,21430,97e4833c46771a67p,0.3334132,0.93560684,0.00899891,0.3
29.152573,12904,14926,97e4833c46771a67p,0.33281013,0.8455093,0.6643761,0.3
21.692066,6054,26166,97e4833c46771a67p,0.3191807,0.95680696,0.0054059196,0.3
20.173096,7022,10648,97e4833c46771a67p,0.31805527,0.93940157,0.82066524,0.3
22.602654,9352,23518,97e4833c46771a67p,0.31800553,0.9305595,0.007803324,0.3
16.983812,8622,19188,97e4833c46771a67p,0.31776357,0.068190165,0.04921606,0.3
20.649927,10818,22350,97e4833c46771a67p,0.3170642,0.93568504,0.0120730465,0.3
21.778786,10310,26950,97e4833c46771a67p,0.31615257,0.7206279,0.100416265,0.3
21.038351,10204,24280,97e4833c46771a67p,0.31530955,0.751619,0.029606927,0.3
23.922836,8174,25190,97e4833c46771a67p,0.31484756,0.8869152,0.011495501,0.3
25.968727,10724,20252,97e4833c46771a67p,0.31322202,0.92068267,0.020799823,0.3
17.86563,8998,19420,97e4833c46771a67p,0.31163,0.06623386,0.06683253,0.3
28.587433,17074,25482,97e4833c46771a67p,0.31104738,0.92187226,0.06695395,0.3
36.604164,8586,4570,97e4833c46771a67p,0.31035846,0.89428425,0.1209909,0.3
24.107483,1108,22510,97e4833c46771a67p,0.30627114,0.863923,0.025613517,0.3
25.561018,4448,14274,97e4833c46771a67p,0.30523232,0.9111974,0.016754594,0.3
22.83924,5896,17028,97e4833c46771a67p,0.3039876,0.94121534,0.0070826034,0.3
19.840683,10734,26268,97e4833c46771a67p,0.30378675,0.7839474,0.033218738,0.3
23.428066,10988,20494,97e4833c46771a67p,0.30300444,0.79995996,0.38676983,0.3
19.292896,10412,15964,97e4833c46771a67p,0.30107176,0.9270777,0.3569484,0.3
21.399042,3504,22054,97e4833c46771a67p,0.30075917,0.93775636,0.027898397,0.3
16.929276,8728,19368,97e4833c46771a67p,0.3006876,0.06969178,0.054123078,0.3
22.834133,11082,21802,97e4833c46771a67p,0.30061093,0.8290445,0.087714635,0.3
