vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
23.040888,15390,8410,9afdf1b6ba2e069ep,0.881252,0.9233427,0.87254995,0.3
26.87649,7168,5630,9afdf1b6ba2e069ep,0.88101137,0.9393394,0.8952909,0.3
24.93066,13470,16048,9afdf1b6ba2e069ep,0.87525856,0.94462156,0.89467084,0.3
32.371994,8492,12196,9afdf1b6ba2e069ep,0.87014383,0.8844954,0.7791665,0.3
28.101976,12102,13810,9afdf1b6ba2e069ep,0.86148846,0.9225985,0.8814238,0.3
31.403393,12706,15336,9afdf1b6ba2e069ep,0.85898936,0.9250044,0.853679,0.3
25.687351,11538,13988,9afdf1b6ba2e069ep,0.8575963,0.9243407,0.88904005,0.3
24.50325,12926,13494,9afdf1b6ba2e069ep,0.85757184,0.9284756,0.89164263,0.3
32.88033,6584,24574,9afdf1b6ba2e069ep,0.85526067,0.9304465,0.8258042,0.3
23.008823,14384,17810,9afdf1b6ba2e069ep,0.8536749,0.9335319,0.90094084,0.3
25.568047,13652,17422,9afdf1b6ba2e069ep,0.8535918,0.90401155,0.82820034,0.3
21.497524,8696,24036,9afdf1b6ba2e069ep,0.84926856,0.9202507,0.8482362,0.3
37.544323,8760,23774,9afdf1b6ba2e069ep,0.8480138,0.9206749,0.68362606,0.3
32.993275,12032,7692,9afdf1b6ba2e069ep,0.8475131,0.9248822,0.7960876,0.3
20.740099,6492,24796,9afdf1b6ba2e069ep,0.84613186,0.9282787,0.86695766,0.3
24.887024,17850,8432,9afdf1b6ba2e069ep,0.84547675,0.9245831,0.89104986,0.3
22.405928,11534,13412,9afdf1b6ba2e069ep,0.8415652,0.9266025,0.8956031,0.3
30.350262,14278,17892,9afdf1b6ba2e069ep,0.8401411,0.90723455,0.80780417,0.3
24.197674,11622,18682,9afdf1b6ba2e069ep,0.8338213,0.9422079,0.89393014,0.3
43.038048,8376,8274,9afdf1b6ba2e069ep,0.8304975,0.91615474,0.5851282,0.3
28.446526,16324,16058,9afdf1b6ba2e069ep,0.82836676,0.90677625,0.80768764,0.3
31.213058,6186,3520,9afdf1b6ba2e069ep,0.827185,0.9284692,0.83414644,0.3
