vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
68.76486,10422,14228,b5857d9d4719c304p,0.8091045,0.9422627,0.33157137,0.3
30.592789,10666,17084,b5857d9d4719c304p,0.8072901,0.9120112,0.8373831,0.3
29.06839,10142,18194,b5857d9d4719c304p,0.7827953,0.8866173,0.79645336,0.3
45.086655,9512,15350,b5857d9d4719c304p,0.7779822,0.9123265,0.6374007,0.3
71.028915,9698,10654,b5857d9d4719c304p,0.77085423,0.92405283,0.2076787,0.3
27.874441,7912,8666,b5857d9d4719c304p,0.71259576,0.90820473,0.79970306,0.3
57.561832,10112,13700,b5857d9d4719c304p,0.7042979,0.90318346,0.48589477,0.3
18.6025,6880,11448,b5857d9d4719c304p,0.7035395,0.89958286,0.8503683,0.3
49.63589,11078,13290,b5857d9d4719c304p,0.70177317,0.9029758,0.621633,0.3
41.917862,9916,23044,b5857d9d4719c304p,0.6942099,0.9423484,0.6905604,0.3
21.319675,4590,7000,b5857d9d4719c304p,0.6917082,0.9005802,0.791821,0.3
59.22825,11054,13870,b5857d9d4719c304p,0.6816996,0.84682804,0.24809238,0.3
48.752396,8332,12540,b5857d9d4719c304p,0.6747554,0.90759075,0.62085515,0.3
19.651861,6498,1668,b5857d9d4719c304p,0.66643596,0.9339591,0.80729085,0.3
58.860226,6746,2504,b5857d9d4719c304p,0.6392496,0.8559208,0.3432619,0.3
132.59186,11696,12600,b5857d9d4719c304p,0.63591796,0.8965154,0.048809864,0.3
32.70076,2786,12802,b5857d9d4719c304p,0.6020121,0.88279074,0.23800662,0.3
41.786896,2614,17594,b5857d9d4719c304p,0.5747321,0.904152,0.04071818,0.3
40.844784,5588,12440,b5857d9d4719c304p,0.5685755,0.74767,0.5338757,0.3
77.561584,11864,13514,b5857d9d4719c304p,0.5667647,0.8512613,0.15247755,0.3
45.479744,9942,9280,b5857d9d4719c304p,0.5420184,0.7292969,0.39889213,0.3
30.7468,2696,18734,b5857d9d4719c304p,0.53363264,0.8997528,0.11088573,0.3
26.001455,2886,17420,b5857d9d4719c304p,0.5303342,0.93662935,0.10793951,0.3
43.719185,9772,13276,b5857d9d4719c304p,0.527423,0.8371177,0.5703889,0.3
18.881514,6858,11240,b5857d9d4719c304p,0.52632403,0.938569,0.88425577,0.3
26.212746,5330,13004,b5857d9d4719c304p,0.4967594,0.8365989,0.702118,0.3
43.909298,10590,13210,b5857d9d4719c304p,0.4880653,0.8079391,0.4711372,0.3
27.380495,2866,18884,b5857d9d4719c304p,0.45222583,0.9047186,0.18306932,0.3
29.463146,3132,17000,b5857d9d4719c304p,0.44641712,0.70965374,0.31020778,0.3
20.40333,3158,25560,b5857d9d4719c304p,0.4414161,0.89641404,0.33345312,0.3
26.57563,2500,18210,b5857d9d4719c304p,0.44118023,0.912275,0.22276907,0.3
21.813791,1652,23922,b5857d9d4719c304p,0.43567783,0.83837277,0.32499042,0.3
22.48346,4080,22762,b5857d9d4719c304p,0.43492717,0.94915885,0.04521539,0.3
93.22494,6876,16298,b5857d9d4719c304p,0.42083782,0.81441236,0.05810891,0.3
