vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
29.972252,17522,12672,c078ff51eb54a68fp,0.86499614,0.94025314,0.881303,0.3
29.773735,16122,16908,c078ff51eb54a68fp,0.8520759,0.79055727,0.7692451,0.3
26.531687,14744,24004,c078ff51eb54a68fp,0.8417653,0.84927005,0.719962,0.3
27.664442,17296,11432,c078ff51eb54a68fp,0.8368785,0.92356896,0.8332724,0.3
21.741142,3424,5412,c078ff51eb54a68fp,0.8359068,0.87670434,0.8230061,0.3
24.793587,10498,13914,c078ff51eb54a68fp,0.82994,0.9255215,0.88831764,0.3
41.5344,13174,4690,c078ff51eb54a68fp,0.82918936,0.9088689,0.7599073,0.3
18.943985,4488,6100,c078ff51eb54a68fp,0.8277588,0.8792123,0.85050964,0.3
28.21793,17548,17378,c078ff51eb54a68fp,0.82406473,0.9227467,0.8361985,0.3
31.478767,14822,5382,c078ff51eb54a68fp,0.81739736,0.8904995,0.77770174,0.3
33.69202,5098,12834,c078ff51eb54a68fp,0.81157434,0.89859843,0.6594205,0.3
25.536335,17500,10496,c078ff51eb54a68fp,0.80911106,0.9231763,0.88392913,0.3
38.88887,9974,4486,c078ff51eb54a68fp,0.79343015,0.8607471,0.6858593,0.3
26.628342,14430,24552,c078ff51eb54a68fp,0.79287946,0.9274105,0.7878006,0.3
143.9667,5490,10130,c078ff51eb54a68fp,0.78569907,0.93667704,0.049255952,0.3
23.90715,14810,24888,c078ff51eb54a68fp,0.78478533,0.9268841,0.7703418,0.3
34.580303,18662,8932,c078ff51eb54a68fp,0.77897483,0.86640203,0.7230557,0.3
46.849617,20948,24372,c078ff51eb54a68fp,0.7764959,0.74098694,0.3204344,0.3
60.172123,17324,9032,c078ff51eb54a68fp,0.7758153,0.76272124,0.22390883,0.3
21.000101,13718,18056,c078ff51eb54a68fp,0.77325934,0.94309026,0.90769583,0.3
20.319317,6680,15786,c078ff51eb54a68fp,0.7707866,0.9301801,0.8564729,0.3
29.490488,20064,18980,c078ff51eb54a68fp,0.770698,0.8707289,0.7707775,0.3
35.307762,12266,7758,c078ff51eb54a68fp,0.76848555,0.9148011,0.7838708,0.3
39.70013,20488,23698,c078ff51eb54a68fp,0.7673797,0.79650223,0.4610689,0.3
48.787544,20368,23876,c078ff51eb54a68fp,0.7672047,0.7534061,0.21330024,0.3
26.440306,12664,5448,c078ff51eb54a68fp,0.765942,0.92105114,0.8488372,0.3
38.717155,21276,24354,c078ff51eb54a68fp,0.7656769,0.9027058,0.56698966,0.3
96.46956,9618,4762,c078ff51eb54a68fp,0.76479656,0.9358835,0.09648535,0.3
25.22729,2728,11450,c078ff51eb54a68fp,0.75795573,0.91319597,0.8134959,0.3
20.196465,6440,14374,c078ff51eb54a68fp,0.75480944,0.9197166,0.8013857,0.3
22.103893,7408,17174,c078ff51eb54a68fp,0.753566,0.93099856,0.74226433,0.3
35.212955,18634,8854,c078ff51eb54a68fp,0.7524366,0.81988496,0.6369514,0.3
56.230198,12408,5294,c078ff51eb54a68fp,0.7467022,0.8466138,0.33436117,0.3
124.733765,16308,2576,c078ff51eb54a68fp,0.7456742,0.91991234,0.0493436,0.3
64.77739,21262,24470,c078ff51eb54a68fp,0.7388838,0.8690425,0.15663898,0.3
63.210136,6632,12146,c078ff51eb54a68fp,0.73684365,0.7710512,0.16092761,0.3
79.55242,11174,21684,c078ff51eb54a68fp,0.7335083,0.9165838,0.11664806,0.3
110.55003,4672,5792,c078ff51eb54a68fp,0.73075545,0.9202358,0.06533638,0.3
121.37383,2974,8452,c078ff51eb54a68fp,0.72965616,0.9066475,0.05296513,0.3
22.866518,5948,14552,c078ff51eb54a68fp,0.7263821,0.91581726,0.61796725,0.3
21.920511,11066,17970,c078ff51eb54a68fp,0.7229592,0.9469855,0.89608616,0.3
110.19967,13518,20700,c078ff51eb54a68fp,0.71054643,0.92029,0.06399606,0.3
148.6498,4620,4012,c078ff51eb54a68fp,0.71045697,0.91208845,0.04794253,0.3
39.45323,12912,7318,c078ff51eb54a68fp,0.7026375,0.7912773,0.24847382,0.3
49.659878,7744,16390,c078ff51eb54a68fp,0.702461,0.8740605,0.1602324,0.3
25.133821,18038,25966,c078ff51eb54a68fp,0.69873023,0.92008364,0.7927362,0.3
19.534264,5282,13854,c078ff51eb54a68fp,0.69866496,0.9165908,0.7673007,0.3
