vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
21.55569,6496,24810,cf10d2ab427c6aedp,0.84539473,0.9222536,0.811477,0.3
22.587254,8700,24050,cf10d2ab427c6aedp,0.8413989,0.9353966,0.88912046,0.3
27.415064,10638,22632,cf10d2ab427c6aedp,0.82475275,0.92110586,0.8249613,0.3
23.988733,7774,24876,cf10d2ab427c6aedp,0.82241005,0.9339351,0.9037093,0.3
33.692154,6588,24588,cf10d2ab427c6aedp,0.8207703,0.93615186,0.7601835,0.3
27.496769,12468,13162,cf10d2ab427c6aedp,0.8169261,0.94043577,0.87083304,0.3
28.174341,12208,14388,cf10d2ab427c6aedp,0.81320935,0.94426966,0.86339223,0.3
41.606747,10398,18802,cf10d2ab427c6aedp,0.811462,0.8808341,0.61785316,0.3
40.852333,13102,17888,cf10d2ab427c6aedp,0.8096914,0.864914,0.611614,0.3
86.06713,8212,16010,cf10d2ab427c6aedp,0.8063724,0.9459658,0.17396525,0.3
22.903374,12390,20858,cf10d2ab427c6aedp,0.787904,0.9403779,0.90980566,0.3
27.205044,7396,25636,cf10d2ab427c6aedp,0.78491896,0.9293471,0.84441847,0.3
27.72093,8144,24890,cf10d2ab427c6aedp,0.78369457,0.8879888,0.8091576,0.3
26.565598,10260,6360,cf10d2ab427c6aedp,0.7809747,0.92520773,0.8810669,0.3
69.23798,15700,17406,cf10d2ab427c6aedp,0.7777941,0.92956793,0.22772858,0.3
21.148746,5526,23224,cf10d2ab427c6aedp,0.7772896,0.9291478,0.80830467,0.3
31.157204,11438,9356,cf10d2ab427c6aedp,0.77519494,0.9410906,0.8609662,0.3
24.742048,9926,6156,cf10d2ab427c6aedp,0.7735478,0.9148021,0.88484263,0.3
104.77966,10568,15214,cf10d2ab427c6aedp,0.77180946,0.93257815,0.1079783,0.3
122.08999,10440,14370,cf10d2ab427c6aedp,0.76951456,0.9378891,0.06619224,0.3
27.187347,12566,14032,cf10d2ab427c6aedp,0.76950866,0.92497724,0.8729725,0.3
70.37694,9382,16182,cf10d2ab427c6aedp,0.7685648,0.91471946,0.268697,0.3
89.41644,14158,23356,cf10d2ab427c6aedp,0.76816374,0.9358296,0.10186189,0.3
27.627184,14810,15082,cf10d2ab427c6aedp,0.76774013,0.9105252,0.85252905,0.3
24.04317,10806,24828,cf10d2ab427c6aedp,0.76244766,0.947301,0.9107352,0.3
29.237783,17428,8182,cf10d2ab427c6aedp,0.76113933,0.88915855,0.8196781,0.3
123.219864,10618,14224,cf10d2ab427c6aedp,0.7597445,0.93073595,0.0568253,0.3
23.825748,11004,17414,cf10d2ab427c6aedp,0.75769204,0.9179768,0.8766469,0.3
19.425884,12148,15334,cf10d2ab427c6aedp,0.7528813,0.94495785,0.90585136,0.3
154.70276,14456,16304,cf10d2ab427c6aedp,0.7496233,0.9222071,0.05036853,0.3
20.629671,10400,19510,cf10d2ab427c6aedp,0.7461064,0.89742374,0.8096555,0.3
23.409866,9434,4880,cf10d2ab427c6aedp,0.73899907,0.932103,0.89783704,0.3
20.412886,5882,25418,cf10d2ab427c6aedp,0.73721176,0.93778086,0.89755774,0.3
31.976452,6986,3310,cf10d2ab427c6aedp,0.73521775,0.88147706,0.7538293,0.3
21.712814,19184,22838,cf10d2ab427c6aedp,0.7351825,0.90334356,0.45608792,0.3
26.85001,18810,22884,cf10d2ab427c6aedp,0.7342757,0.91591436,0.44640303,0.3
28.400711,12848,7268,cf10d2ab427c6aedp,0.73356843,0.89968723,0.81895125,0.3
25.441763,9674,5336,cf10d2ab427c6aedp,0.72733194,0.92778045,0.87816125,0.3
42.13694,13782,18152,cf10d2ab427c6aedp,0.7242033,0.9251931,0.73772,0.3
25.254478,11566,4198,cf10d2ab427c6aedp,0.7241471,0.9153637,0.88337594,0.3
27.320345,12954,10678,cf10d2ab427c6aedp,0.723663,0.92075276,0.8350554,0.3
116.42426,5180,4544,cf10d2ab427c6aedp,0.7206669,0.88658327,0.058752634,0.3
38.20682,12048,10894,cf10d2ab427c6aedp,0.71837467,0.9160941,0.6954779,0.3
150.83891,10808,25248,cf10d2ab427c6aedp,0.71828103,0.90206283,0.053715136,0.3
21.467245,12166,15630,cf10d2ab427c6aedp,0.7150143,0.9349073,0.89837,0.3
24.612207,11736,9852,cf10d2ab427c6aedp,0.7037796,0.908566,0.8541496,0.3
35.26056,9212,4812,cf10d2ab427c6aedp,0.70306784,0.9035438,0.75355417,0.3
24.868778,10506,7714,cf10d2ab427c6aedp,0.6994999,0.9237936,0.87563777,0.3
63.001785,8100,13772,cf10d2ab427c6aedp,0.69814634,0.8585672,0.24233906,0.3
93.17157,6312,19448,cf10d2ab427c6aedp,0.69698656,0.92628425,0.047952384,0.3
