vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
22.958166,14268,22904,ec00f105aafbade6p,0.85345715,0.93421763,0.8767357,0.3
20.807035,17496,16004,ec00f105aafbade6p,0.84200317,0.9398448,0.90206206,0.3
21.471308,12064,23664,ec00f105aafbade6p,0.84079945,0.9446885,0.9072984,0.3
34.604317,12156,23442,ec00f105aafbade6p,0.83997667,0.93230975,0.8071493,0.3
32.127056,15876,4656,ec00f105aafbade6p,0.8395807,0.9373251,0.87186664,0.3
25.310158,16722,25454,ec00f105aafbade6p,0.8369379,0.94380426,0.906837,0.3
22.433184,17666,15952,ec00f105aafbade6p,0.8349148,0.9333748,0.89206606,0.3
22.486107,15232,23272,ec00f105aafbade6p,0.83280045,0.94657797,0.9033793,0.3
20.356457,16912,6856,ec00f105aafbade6p,0.8258998,0.9409896,0.9192018,0.3
33.166626,17132,17206,ec00f105aafbade6p,0.81993026,0.9306913,0.8350743,0.3
28.472908,15926,5220,ec00f105aafbade6p,0.8185743,0.9303456,0.8908747,0.3
28.321362,16210,21332,ec00f105aafbade6p,0.8136356,0.93983895,0.88427866,0.3
30.835747,15744,5710,ec00f105aafbade6p,0.813431,0.9351079,0.85961324,0.3
24.777185,15746,18962,ec00f105aafbade6p,0.80336255,0.9322861,0.8996258,0.3
25.224316,16646,16784,ec00f105aafbade6p,0.8024633,0.9262111,0.9032217,0.3
25.257597,15906,5706,ec00f105aafbade6p,0.8010603,0.9194805,0.8774796,0.3
87.34444,9028,23334,ec00f105aafbade6p,0.79968864,0.91930664,0.19063935,0.3
32.073753,15654,18668,ec00f105aafbade6p,0.79767007,0.91077703,0.82415396,0.3
20.69294,17628,9386,ec00f105aafbade6p,0.7956039,0.9239465,0.8966404,0.3
25.189175,17552,9390,ec00f105aafbade6p,0.79182553,0.93651915,0.8787107,0.3
29.632328,16136,7754,ec00f105aafbade6p,0.7896175,0.933244,0.8795864,0.3
82.18753,18224,11034,ec00f105aafbade6p,0.78647155,0.9364743,0.20169814,0.3
22.816275,8748,20588,ec00f105aafbade6p,0.7859456,0.926315,0.71895754,0.3
21.436134,15102,23852,ec00f105aafbade6p,0.7729423,0.9292399,0.8774242,0.3
23.300846,15602,19034,ec00f105aafbade6p,0.76941293,0.93748546,0.88713676,0.3
18.249388,11096,22078,ec00f105aafbade6p,0.7640178,0.9180218,0.8769572,0.3
116.82488,17286,11848,ec00f105aafbade6p,0.7547179,0.93524796,0.07145862,0.3
23.627445,19634,22418,ec00f105aafbade6p,0.7539443,0.9253656,0.8852765,0.3
66.20622,9970,20460,ec00f105aafbade6p,0.75209785,0.91250634,0.38538477,0.3
29.334536,18708,11836,ec00f105aafbade6p,0.75203156,0.91136146,0.84796214,0.3
115.05098,19126,22250,ec00f105aafbade6p,0.7422469,0.90550894,0.06417309,0.3
26.612526,13928,8404,ec00f105aafbade6p,0.7393396,0.89583224,0.8449472,0.3
97.91663,16928,19554,ec00f105aafbade6p,0.7357097,0.94472855,0.116365924,0.3
18.975407,16052,24340,ec00f105aafbade6p,0.73546064,0.9287521,0.8693559,0.3
18.333393,8644,4374,ec00f105aafbade6p,0.735064,0.9134672,0.74537486,0.3
142.63234,16294,24582,ec00f105aafbade6p,0.733546,0.9282199,0.056410044,0.3
24.167643,16780,16706,ec00f105aafbade6p,0.732299,0.90352345,0.86344826,0.3
160.64282,19500,19688,ec00f105aafbade6p,0.7267998,0.92053026,0.051570836,0.3
84.811104,10248,5180,ec00f105aafbade6p,0.72203034,0.91538525,0.11304894,0.3
88.6826,18672,23868,ec00f105aafbade6p,0.72084725,0.93712765,0.11912745,0.3
121.31177,13984,6908,ec00f105aafbade6p,0.7205157,0.90804964,0.06872566,0.3
21.327965,13968,2980,ec00f105aafbade6p,0.72024363,0.92581713,0.8852268,0.3
30.56641,13798,2526,ec00f105aafbade6p,0.7181439,0.8901592,0.82208157,0.3
25.14822,15232,20016,ec00f105aafbade6p,0.7169215,0.90670264,0.84889275,0.3
71.26995,15028,4728,ec00f105aafbade6p,0.7164128,0.9215591,0.2979621,0.3
110.44939,16586,26290,ec00f105aafbade6p,0.7147337,0.929338,0.06647603,0.3
84.051636,12270,24862,ec00f105aafbade6p,0.7041658,0.9306112,0.11956923,0.3
90.94,13660,16666,ec00f105aafbade6p,0.7016929,0.8895964,0.08488701,0.3
27.777033,14466,21898,ec00f105aafbade6p,0.69592184,0.8751815,0.79716957,0.3
78.981,13644,11644,ec00f105aafbade6p,0.6923803,0.91689444,0.06476003,0.3
27.319681,15948,19558,ec00f105aafbade6p,0.6875595,0.88476646,0.8045238,0.3
94.9744,14830,11660,ec00f105aafbade6p,0.68173313,0.8632554,0.10031323,0.3
84.640656,20208,20840,ec00f105aafbade6p,0.6813399,0.8942694,0.19568752,0.3
17.742523,11322,22708,ec00f105aafbade6p,0.68018544,0.9261792,0.8296003,0.3
130.60799,16370,24222,ec00f105aafbade6p,0.6760474,0.8612437,0.05385957,0.3
167.68643,17438,23066,ec00f105aafbade6p,0.67586726,0.9073713,0.052835003,0.3
18.906109,15896,26596,ec00f105aafbade6p,0.67422485,0.92206854,0.8620828,0.3
57.642628,13522,13250,ec00f105aafbade6p,0.6732746,0.9121643,0.07063874,0.3
72.322525,20538,21460,ec00f105aafbade6p,0.67024624,0.92349625,0.18382758,0.3
