vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
92.125854,18214,12540,f72465088b4c4276p,0.8395195,0.9409531,0.06293986,0.3
85.8862,17158,11058,f72465088b4c4276p,0.82854146,0.94843954,0.06544292,0.3
29.755375,9924,11354,f72465088b4c4276p,0.81755394,0.87359554,0.6356694,0.3
51.614456,17604,13918,f72465088b4c4276p,0.80923855,0.58306706,0.109959394,0.3
135.4372,16722,10604,f72465088b4c4276p,0.8090055,0.94646853,0.0455558,0.3
57.261482,17910,13626,f72465088b4c4276p,0.8049031,0.9176551,0.113380484,0.3
32.385403,12938,11784,f72465088b4c4276p,0.80440634,0.09689017,0.07985117,0.3
21.660587,11666,15946,f72465088b4c4276p,0.8036917,0.89942616,0.8228367,0.3
110.64103,17770,11982,f72465088b4c4276p,0.7891227,0.9315485,0.049187936,0.3
53.013992,7262,9432,f72465088b4c4276p,0.7851076,0.7685457,0.17371805,0.3
30.876862,13926,11716,f72465088b4c4276p,0.78065014,0.07166273,0.06593338,0.3
32.44867,13148,4456,f72465088b4c4276p,0.78052044,0.52004635,0.16937499,0.3
21.517622,8104,8764,f72465088b4c4276p,0.77973574,0.9049208,0.8305821,0.3
32.71556,11546,9768,f72465088b4c4276p,0.77270377,0.17056404,0.1631076,0.3
30.11581,14484,6180,f72465088b4c4276p,0.7722843,0.06572053,0.05616011,0.3
31.052242,17950,14564,f72465088b4c4276p,0.7718563,0.060312673,0.0553634,0.3
30.096077,13366,19460,f72465088b4c4276p,0.77163637,0.8349089,0.5106592,0.3
21.229773,3924,8358,f72465088b4c4276p,0.76738,0.8717801,0.81978726,0.3
130.13525,12566,4966,f72465088b4c4276p,0.7602326,0.9377862,0.04760349,0.3
30.346651,17244,13338,f72465088b4c4276p,0.7571587,0.078141905,0.0578036,0.3
30.065022,12556,11280,f72465088b4c4276p,0.75582886,0.06884671,0.061863262,0.3
33.34976,13544,4414,f72465088b4c4276p,0.75556695,0.06305361,0.052175093,0.3
30.504326,10664,7094,f72465088b4c4276p,0.7531101,0.1045639,0.06090107,0.3
30.089817,10816,10436,f72465088b4c4276p,0.75143844,0.08134215,0.060228106,0.3
32.80747,12838,4522,f72465088b4c4276p,0.74974453,0.05751787,0.050411515,0.3
30.82716,13312,12250,f72465088b4c4276p,0.7479913,0.07260852,0.062227197,0.3
33.847424,14870,5232,f72465088b4c4276p,0.7457395,0.0620933,0.04961593,0.3
79.09665,6598,7130,f72465088b4c4276p,0.743597,0.91581845,0.17007358,0.3
73.043884,13404,6144,f72465088b4c4276p,0.7435752,0.8952889,0.055420905,0.3
29.901335,14388,4932,f72465088b4c4276p,0.74061805,0.07525037,0.05511927,0.3
31.348976,12034,7328,f72465088b4c4276p,0.73982,0.121703714,0.066627376,0.3
28.88383,14060,18414,f72465088b4c4276p,0.73480386,0.92643344,0.7664065,0.3
102.87082,19242,15380,f72465088b4c4276p,0.7327006,0.91622686,0.059130497,0.3
46.68814,7112,9532,f72465088b4c4276p,0.73001844,0.8099779,0.21687412,0.3
30.498146,15740,5820,f72465088b4c4276p,0.7296647,0.061594814,0.054134417,0.3
32.195896,13908,4720,f72465088b4c4276p,0.7293983,0.058795672,0.05104607,0.3
21.490265,6296,19334,f72465088b4c4276p,0.72843504,0.9460489,0.5353413,0.3
33.760353,13746,4616,f72465088b4c4276p,0.72770864,0.060557675,0.050216213,0.3
21.77376,6360,4256,f72465088b4c4276p,0.72730315,0.92633146,0.5152674,0.3
31.803642,12942,4636,f72465088b4c4276p,0.7263011,0.05770204,0.050571974,0.3
29.480198,5114,5228,f72465088b4c4276p,0.7262727,0.65682346,0.52861357,0.3
21.64978,10112,16612,f72465088b4c4276p,0.72525436,0.8701262,0.5344658,0.3
29.89466,10752,10002,f72465088b4c4276p,0.72479665,0.06685618,0.067713775,0.3
34.06937,12894,3898,f72465088b4c4276p,0.7245624,0.059594296,0.049736068,0.3
31.00666,12076,4070,f72465088b4c4276p,0.72396946,0.06547838,0.050965294,0.3
23.24242,8260,18158,f72465088b4c4276p,0.7226125,0.8905201,0.63279665,0.3
33.259583,17510,14204,f72465088b4c4276p,0.72144,0.06416655,0.05500255,0.3
30.300976,13470,12060,f72465088b4c4276p,0.719357,0.0904289,0.082953066,0.3
32.681316,17762,14474,f72465088b4c4276p,0.7110678,0.062528685,0.05378887,0.3
44.71649,9448,13734,f72465088b4c4276p,0.7095228,0.41323557,0.10186651,0.3
33.434822,15922,6392,f72465088b4c4276p,0.70925456,0.06304995,0.05322025,0.3
31.688667,10114,10266,f72465088b4c4276p,0.70911384,0.06999394,0.05702781,0.3
31.800346,15824,8806,f72465088b4c4276p,0.70822376,0.069269724,0.053483482,0.3
19.006214,10012,12586,f72465088b4c4276p,0.7076406,0.9326835,0.8523013,0.3
25.498798,10322,15462,f72465088b4c4276p,0.7072363,0.9181158,0.363039,0.3
132.62631,4164,19450,f72465088b4c4276p,0.70647514,0.928566,0.04111436,0.3
26.288576,8982,17688,f72465088b4c4276p,0.7061516,0.7950041,0.462785,0.3
56.55241,4236,10084,f72465088b4c4276p,0.70530623,0.8452129,0.27183247,0.3
28.767033,10772,10784,f72465088b4c4276p,0.7050498,0.06620228,0.058129273,0.3
