vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
39.253235,21384,14184,f9e403da040d714cp,0.80059075,0.83686304,0.39069903,0.3
40.74142,21888,23100,f9e403da040d714cp,0.7887577,0.57855326,0.29046118,0.3
41.680798,22526,19332,f9e403da040d714cp,0.7847791,0.07928723,0.051237132,0.3
39.124622,20158,23054,f9e403da040d714cp,0.7805191,0.6499908,0.08170662,0.3
38.262676,22832,21170,f9e403da040d714cp,0.77566755,0.42064077,0.05088038,0.3
41.11992,22726,17636,f9e403da040d714cp,0.7714045,0.34613162,0.0581878,0.3
35.26476,23162,19022,f9e403da040d714cp,0.76738596,0.38093373,0.2480708,0.3
33.53718,21708,16308,f9e403da040d714cp,0.75651467,0.48608068,0.26010728,0.3
37.381893,22946,18604,f9e403da040d714cp,0.75608337,0.75356203,0.12308937,0.3
40.209244,20142,17656,f9e403da040d714cp,0.7545713,0.37932995,0.06812102,0.3
39.98623,22724,20452,f9e403da040d714cp,0.7493631,0.06043655,0.052061044,0.3
33.690395,19478,18412,f9e403da040d714cp,0.7492719,0.077672005,0.055196263,0.3
30.994349,23124,23850,f9e403da040d714cp,0.74836195,0.8283117,0.24417962,0.3
39.839634,22720,20830,f9e403da040d714cp,0.74303067,0.12945288,0.058099966,0.3
40.408207,21968,17350,f9e403da040d714cp,0.7423546,0.84124684,0.12075875,0.3
40.207832,21870,18548,f9e403da040d714cp,0.7406727,0.059389647,0.052479833,0.3
43.848476,22942,20386,f9e403da040d714cp,0.7353881,0.12764856,0.053249296,0.3
39.271103,22388,21010,f9e403da040d714cp,0.7338755,0.05906494,0.053502087,0.3
39.31723,22426,16360,f9e403da040d714cp,0.73006797,0.07648849,0.053424843,0.3
39.063347,22116,20822,f9e403da040d714cp,0.7278123,0.059056513,0.052559845,0.3
41.153084,22480,20496,f9e403da040d714cp,0.72769403,0.17075208,0.09578627,0.3
42.2677,22112,20916,f9e403da040d714cp,0.7254665,0.1597271,0.052521106,0.3
41.38595,21516,17936,f9e403da040d714cp,0.7243766,0.10659815,0.054284234,0.3
39.08701,22740,19686,f9e403da040d714cp,0.72200227,0.06669669,0.05241821,0.3
41.338543,22882,19612,f9e403da040d714cp,0.7213879,0.4354158,0.054843288,0.3
39.660206,22418,19640,f9e403da040d714cp,0.72096485,0.05878969,0.052848283,0.3
63.755043,22762,17400,f9e403da040d714cp,0.7194338,0.88537973,0.03758138,0.3
44.45768,22306,21466,f9e403da040d714cp,0.7156634,0.09204841,0.0527075,0.3
39.768406,21260,12308,f9e403da040d714cp,0.71146953,0.87407666,0.114310555,0.3
39.219162,22704,21404,f9e403da040d714cp,0.71035445,0.059896182,0.052824892,0.3
38.61362,22726,16212,f9e403da040d714cp,0.7095454,0.060098097,0.05111166,0.3
41.06952,22080,20000,f9e403da040d714cp,0.7069324,0.06562761,0.053028803,0.3
39.742775,22660,17950,f9e403da040d714cp,0.70537335,0.0657683,0.051898345,0.3
49.45818,22668,17474,f9e403da040d714cp,0.70432276,0.6119169,0.047112945,0.3
26.966093,20942,14328,f9e403da040d714cp,0.70425594,0.83656704,0.6671501,0.3
39.217598,22294,18622,f9e403da040d714cp,0.70061004,0.058452714,0.051899366,0.3
39.729103,22672,15974,f9e403da040d714cp,0.6997497,0.81113374,0.052240822,0.3
