vessel_length_m,detect_scene_row,detect_scene_column,scene_id,objectness_p,is_vessel_p,is_fishing_p,objectness_threshold
31.759691,16794,14448,05bc615a9b0e1159t,0.8799004,0.91825694,0.75626516,0.3
18.97525,15228,8234,05bc615a9b0e1159t,0.83794844,0.9051165,0.8652989,0.3
25.154648,12002,11468,05bc615a9b0e1159t,0.83460516,0.92345583,0.7551738,0.3
27.772823,16712,13578,05bc615a9b0e1159t,0.8303055,0.877444,0.78043914,0.3
28.892132,16774,14648,05bc615a9b0e1159t,0.8278394,0.86149347,0.79701084,0.3
20.090742,16096,15722,05bc615a9b0e1159t,0.82745826,0.92339253,0.887421,0.3
25.044765,18552,15296,05bc615a9b0e1159t,0.82587117,0.89642787,0.8506627,0.3
21.847136,12098,11608,05bc615a9b0e1159t,0.81497806,0.9309678,0.8466798,0.3
18.496597,16256,15878,05bc615a9b0e1159t,0.75785846,0.9367477,0.88782567,0.3
22.029194,18148,15296,05bc615a9b0e1159t,0.7544784,0.8895359,0.834006,0.3
20.336948,11758,10362,05bc615a9b0e1159t,0.73167163,0.9375655,0.6238275,0.3
22.586042,18108,17016,05bc615a9b0e1159t,0.72876596,0.86818516,0.8064323,0.3
71.630005,16022,18750,05bc615a9b0e1159t,0.7127788,0.7980346,0.06642722,0.3
21.136505,19210,15514,05bc615a9b0e1159t,0.6619729,0.8975656,0.82092696,0.3
27.951336,16440,12610,05bc615a9b0e1159t,0.6506307,0.85182655,0.67683667,0.3
20.112988,14496,13416,05bc615a9b0e1159t,0.63139087,0.905108,0.84274054,0.3
67.17433,4632,3608,05bc615a9b0e1159t,0.6309701,0.89465266,0.045076374,0.3
21.080215,10090,12000,05bc615a9b0e1159t,0.60910517,0.9176953,0.4025272,0.3
21.340445,6878,5112,05bc615a9b0e1159t,0.6085776,0.9254876,0.39498094,0.3
38.86478,9474,11426,05bc615a9b0e1159t,0.6051042,0.9315241,0.022387294,0.3
33.4265,11126,12740,05bc615a9b0e1159t,0.59893686,0.8922297,0.11540522,0.3
37.0006,11774,17394,05bc615a9b0e1159t,0.59677553,0.9407051,0.09716148,0.3
30.306473,6162,4634,05bc615a9b0e1159t,0.59636694,0.9376158,0.025244938,0.3
22.78542,20642,4358,05bc615a9b0e1159t,0.589355,0.8733196,0.76410997,0.3
19.733028,15590,22130,05bc615a9b0e1159t,0.5830655,0.90400165,0.6473647,0.3
27.657265,8776,10042,05bc615a9b0e1159t,0.57983804,0.9496424,0.012510741,0.3
27.442667,15814,7794,05bc615a9b0e1159t,0.5752078,0.7014893,0.4765327,0.3
51.858486,10392,12938,05bc615a9b0e1159t,0.55903035,0.9234667,0.016742399,0.3
53.57625,6462,7430,05bc615a9b0e1159t,0.54710853,0.750707,0.03219614,0.3
29.318867,12520,16846,05bc615a9b0e1159t,0.54465336,0.8981856,0.015697213,0.3
26.200169,12448,16850,05bc615a9b0e1159t,0.5384183,0.9364129,0.013885759,0.3
29.587685,11702,16758,05bc615a9b0e1159t,0.52906764,0.91831344,0.013270535,0.3
19.654736,13148,15548,05bc615a9b0e1159t,0.52829593,0.9488973,0.5500558,0.3
25.114737,10508,13022,05bc615a9b0e1159t,0.52519864,0.94767183,0.016113933,0.3
27.609385,10588,3576,05bc615a9b0e1159t,0.5221088,0.359862,0.24964379,0.3
23.05965,9174,7182,05bc615a9b0e1159t,0.51623154,0.8877444,0.4787987,0.3
29.640596,8184,4198,05bc615a9b0e1159t,0.5126138,0.56114477,0.119069144,0.3
19.596607,7164,3998,05bc615a9b0e1159t,0.51167655,0.92164195,0.52228,0.3
21.512108,8812,2228,05bc615a9b0e1159t,0.5009248,0.9329583,0.54898244,0.3
20.29648,18690,16134,05bc615a9b0e1159t,0.49452457,0.9099068,0.5966141,0.3
22.917728,12156,16758,05bc615a9b0e1159t,0.48878673,0.93980736,0.010216205,0.3
35.234962,10452,12982,05bc615a9b0e1159t,0.4864329,0.8775848,0.021821331,0.3
32.71954,9940,12228,05bc615a9b0e1159t,0.47850984,0.9403545,0.017814362,0.3
20.874483,5024,2670,05bc615a9b0e1159t,0.47694808,0.93966854,0.5523549,0.3
25.821018,12670,16940,05bc615a9b0e1159t,0.47495022,0.958107,0.008825587,0.3
34.253048,10404,13000,05bc615a9b0e1159t,0.4708216,0.9031278,0.015941706,0.3
25.409798,9248,10708,05bc615a9b0e1159t,0.46791962,0.9399635,0.039840166,0.3
