train_score,validation_score
-6.278630745367849153e-01,-6.269978337672006408e-01
-5.740672284828898242e-01,-5.757465107606879462e-01
-5.306744750715592929e-01,-5.361559919961547127e-01
-4.951006631089557852e-01,-5.026396690273451373e-01
-4.657562895977931383e-01,-4.757748076109867275e-01
-4.399900294095441255e-01,-4.535329928529757137e-01
-4.172108885258288824e-01,-4.311242645472489476e-01
-3.977403986522871082e-01,-4.122368010171743591e-01
-3.809701698922148272e-01,-3.964275791140714489e-01
-3.663347758453084357e-01,-3.840029550894451527e-01
-3.528861644833526934e-01,-3.717353107783053501e-01
-3.407614200789927383e-01,-3.608611508236267418e-01
-3.304956310957480881e-01,-3.528473824481006549e-01
-3.207761481929359837e-01,-3.449058221884941378e-01
-3.116672071555705026e-01,-3.389284295214335940e-01
-3.036667737023971414e-01,-3.328981192573967629e-01
-2.966906975378668099e-01,-3.279928038717319083e-01
-2.898493291371589398e-01,-3.219830060170892350e-01
-2.840601745098945696e-01,-3.174487923783589349e-01
-2.782839971052227801e-01,-3.133522099164032237e-01
-2.726609054268266941e-01,-3.088861674901144383e-01
-2.678103808805835651e-01,-3.060333945462854199e-01
-2.625648088950582881e-01,-3.026370584904051753e-01
-2.583012976521067428e-01,-3.001486464782358587e-01
-2.542919274083487169e-01,-2.987166271151309727e-01
-2.506211543073547654e-01,-2.962390722880718918e-01
-2.466545714851967330e-01,-2.950817759871056656e-01
-2.429251162010401532e-01,-2.931575442956676492e-01
-2.396223052753930494e-01,-2.912899470179056149e-01
-2.365566291337532490e-01,-2.901444928814693736e-01
-2.334243039484051874e-01,-2.884816535856268849e-01
-2.309451435463679980e-01,-2.871475663340863904e-01
-2.282977478766346768e-01,-2.864764454493607393e-01
-2.259722293388816972e-01,-2.860987244261031237e-01
-2.235005110416299068e-01,-2.859381552831750661e-01
-2.213134850693553313e-01,-2.854442630089626953e-01
-2.192427721912223737e-01,-2.847820454515608279e-01
-2.172566980714639717e-01,-2.845631298461604453e-01
-2.154521787687390943e-01,-2.837524448067876848e-01
-2.135097060903599908e-01,-2.840786929530192961e-01
-2.117131297395898060e-01,-2.853568547985529946e-01
-2.100200741125788917e-01,-2.852634641946680816e-01
-2.082437569923161480e-01,-2.854759969454304103e-01
-2.065264394769168732e-01,-2.850849022652752751e-01
-2.049188302565864983e-01,-2.847499619300129514e-01
-2.034547416749610260e-01,-2.842549289473940144e-01
-2.021755944489533052e-01,-2.852915697611039247e-01
-2.004406044060150771e-01,-2.851132674471618111e-01
-1.991749907679649101e-01,-2.851953747575832754e-01
